,PASE
Abilene Christian,0.37500000000000006
Air Force,-0.44097222222222215
Akron,-0.23090277777777773
Alabama,0.0808823529411765
Alabama A&M,
Alabama St.,-0.0069444444444444
Albany,0.09861111111111116
Alcorn St.,-0.0833333333333333
American,-0.11111111111111106
Appalachian St.,-0.1666666666666666
Arizona,-0.15234375
Arizona St.,0.20486111111111108
Arkansas,0.22453703703703703
Arkansas Pine Bluff,0.9930555555555556
Arkansas St.,-0.0833333333333333
Auburn,0.7484567901234568
Austin Peay,0.06666666666666672
BYU,-0.375
Ball St.,0.08217592592592599
Baylor,0.1124999999999999
Belmont,-0.12760416666666663
Binghamton,-0.0833333333333333
Boise St.,-0.1666666666666666
Boston College,0.15025252525252528
Boston University,-0.12361111111111107
Bradley,0.09444444444444446
Brown,-0.0833333333333333
Bucknell,-0.007812499999999951
Buffalo,0.0017361111111111605
Butler,0.7106481481481483
Cal Poly,0.9930555555555556
Cal St. Bakersfield,-0.0833333333333333
Cal St. Fullerton,-0.12499999999999994
Cal St. Northridge,-0.1631944444444444
California,-0.18643162393162394
Campbell,-0.0069444444444444
Canisius,-0.2430555555555555
Central Connecticut,-0.0856481481481481
Central Michigan,0.05902777777777783
Charleston,-0.37847222222222215
Charleston Southern,-0.11805555555555552
Charlotte,-0.34513888888888894
Chattanooga,0.04774305555555562
Cincinnati,-0.3179347826086957
Clemson,-0.31886574074074076
Cleveland St.,0.8356481481481483
Coastal Carolina,-0.02604166666666663
Colgate,-0.06597222222222218
Colorado,-0.2857142857142857
Colorado St.,-0.15
Connecticut,0.4890873015873015
Coppin St.,0.25000000000000006
Cornell,0.2864583333333334
Creighton,-0.25555555555555554
Davidson,0.009722222222222276
Dayton,-0.05833333333333327
DePaul,-0.09027777777777779
Delaware,-0.21111111111111108
Delaware St.,-0.0069444444444444
Detroit Mercy,0.2615740740740741
Drake,-0.3784722222222222
Drexel,-0.018055555555555505
Duke,0.15931372549019607
East Carolina,-0.0069444444444444
East Tennessee St.,-0.0686728395061728
Eastern Illinois,-0.0833333333333333
Eastern Kentucky,-0.05787037037037033
Eastern Michigan,0.3923611111111111
Eastern Washington,-0.16435185185185178
Evansville,-0.2881944444444444
FIU,-0.0069444444444444
Fairfield,-0.0856481481481481
Fairleigh Dickinson,0.1777777777777778
Florida,0.5211352657004831
Florida A&M,0.4930555555555556
Florida Atlantic,-0.0833333333333333
Florida Gulf Coast,0.914351851851852
Florida St.,0.09027777777777775
Fordham,-0.1666666666666666
Fresno St.,-0.11574074074074074
Gardner Webb,-0.0069444444444444
George Mason,0.4537037037037037
George Washington,-0.1612654320987654
Georgetown,-0.132260101010101
Georgia,-0.5303030303030303
Georgia Southern,-0.0833333333333333
Georgia St.,0.18750000000000003
Georgia Tech,0.14019097222222227
Gonzaga,0.23731884057971014
Grand Canyon,-0.0833333333333333
Green Bay,-0.21388888888888885
Hampton,0.36250000000000004
Hartford,-0.0069444444444444
Harvard,0.14062500000000006
Hawaii,-0.15451388888888887
Hofstra,-0.20486111111111105
Holy Cross,0.04166666666666672
Houston,-0.050595238095238075
Howard,-0.0069444444444444
IUPUI,-0.0069444444444444
Idaho,-0.2430555555555555
Idaho St.,-0.0069444444444444
Illinois,-0.3239734299516908
Illinois Chicago,-0.3055555555555555
Illinois St.,0.0034722222222222376
Indiana,-0.12666666666666665
Indiana St.,0.02546296296296302
Iona,-0.18181818181818174
Iowa,-0.13078703703703703
Iowa St.,-0.14217836257309938
Jackson St.,-0.0069444444444444
Jacksonville,-0.7083333333333334
Jacksonville St.,-0.0833333333333333
James Madison,0.4131944444444445
Kansas,-0.006746031746031735
Kansas St.,-0.07499999999999997
Kent St.,0.20486111111111124
Kentucky,0.5164351851851852
LIU,-0.11111111111111106
LSU,0.15727124183006536
La Salle,0.2125
Lafayette,-0.19841269841269835
Lamar,-0.0069444444444444
Lehigh,0.22395833333333337
Liberty,0.05729166666666672
Lipscomb,-0.0833333333333333
Little Rock,0.26736111111111116
Long Beach St.,-0.47743055555555547
Louisiana Monroe,-0.13657407407407404
Louisiana Tech,0.1527777777777778
Louisville,0.33787393162393164
Loyola Chicago,1.7175925925925926
Loyola MD,-0.0833333333333333
Loyola Marymount,0.7430555555555557
Manhattan,0.038888888888888945
Marist,-0.12499999999999994
Marquette,-0.11501736111111113
Marshall,0.14351851851851857
Maryland,0.13194444444444445
Massachusetts,-0.421875
McNeese St.,-0.0868055555555555
Memphis,0.054398148148148175
Mercer,0.37500000000000006
Miami FL,-0.4513888888888889
Miami OH,0.011904761904761958
Michigan,0.4886363636363637
Michigan St.,0.3850574712643679
Middle Tennessee,0.31250000000000006
Milwaukee,0.31250000000000006
Minnesota,-0.007523148148148177
Mississippi,-0.2621527777777778
Mississippi St.,-0.13333333333333333
Mississippi Valley St.,-0.026041666666666626
Missouri,-0.3584656084656085
Missouri St.,0.12152777777777783
Monmouth,0.16493055555555558
Montana,-0.06249999999999994
Montana St.,-0.12499999999999994
Morehead St.,0.5277777777777778
Morgan St.,-0.0833333333333333
Mount St. Mary's,0.4930555555555556
Murray St.,-0.05138888888888884
Navy,0.3414351851851853
Nebraska,-0.8730158730158729
Nevada,0.035590277777777804
New Mexico,-0.5810185185185185
New Mexico St.,-0.24861111111111106
New Orleans,-0.35416666666666663
Niagara,0.4131944444444445
Nicholls St.,-0.12499999999999994
Norfolk St.,0.9548611111111112
North Carolina,0.26914983164983164
North Carolina A&T,0.10218253968253974
North Carolina Central,-0.1666666666666666
North Carolina St.,0.22960069444444442
North Dakota,-0.0833333333333333
North Dakota St.,0.3072916666666667
North Florida,
North Texas,0.12673611111111116
Northeastern,-0.16550925925925922
Northern Arizona,-0.0833333333333333
Northern Colorado,-0.0833333333333333
Northern Illinois,-0.20486111111111105
Northern Iowa,0.06857638888888892
Northern Kentucky,-0.12499999999999994
Northwestern,0.29166666666666663
Northwestern St.,0.5532407407407408
Notre Dame,-0.1689814814814815
Oakland,0.1944444444444445
Ohio,0.4039351851851852
Ohio St.,-0.19675925925925922
Oklahoma,-0.22649572649572644
Oklahoma St.,-0.04062499999999997
Old Dominion,-0.10624999999999998
Oral Roberts,0.37500000000000006
Oregon,0.3675213675213676
Oregon St.,-0.28935185185185186
Pacific,0.0416666666666667
Penn,-0.23611111111111102
Penn St.,0.029513888888888923
Pepperdine,-0.2728174603174603
Pittsburgh,-0.5091374269005848
Portland,-0.1666666666666666
Portland St.,-0.12499999999999994
Prairie View A&M,-0.0069444444444444
Princeton,-0.22537878787878782
Providence,-0.013888888888888869
Purdue,-0.28729423868312753
Radford,0.3263888888888889
Rhode Island,0.4712301587301587
Richmond,0.33072916666666674
Rider,-0.04513888888888885
Robert Morris,0.1215277777777778
Rutgers,-0.15046296296296294
SMU,-0.5555555555555556
Saint Joseph's,-0.1736111111111111
Saint Louis,-0.14409722222222224
Saint Mary's,-0.2013888888888889
Saint Peter's,-0.2546296296296296
Sam Houston St.,-0.12499999999999994
Samford,-0.20486111111111105
San Diego,-0.02546296296296291
San Diego St.,-0.3344907407407407
San Francisco,-0.1666666666666666
San Jose St.,-0.0069444444444444
Santa Clara,0.17534722222222227
Seton Hall,0.16880341880341881
Siena,0.4178240740740741
South Alabama,-0.23726851851851846
South Carolina,-0.44722222222222213
South Carolina St.,-0.05277777777777774
South Dakota St.,-0.35937499999999994
South Florida,0.2546296296296297
Southeast Missouri St.,-0.2430555555555555
Southeastern Louisiana,-0.0833333333333333
Southern,0.06944444444444449
Southern Illinois,-0.1481481481481481
Southern Miss,-0.4907407407407407
Southern Utah,-0.1666666666666666
St. Bonaventure,-0.22743055555555552
St. Francis PA,-0.0833333333333333
St. John's,-0.38392857142857145
Stanford,-0.3090277777777778
Stephen F. Austin,0.09444444444444448
Stony Brook,-0.2430555555555555
Syracuse,0.3486590038314176
TCU,-0.8958333333333334
Temple,0.004830917874396108
Tennessee,-0.10462962962962961
Tennessee St.,-0.12499999999999994
Texas,-0.07921810699588476
Texas A&M,0.13040123456790123
Texas A&M Corpus Chris,-0.0833333333333333
Texas Southern,0.22321428571428575
Texas St.,-0.04513888888888885
Texas Tech,0.11574074074074071
Towson,-0.0069444444444444
Troy,-0.12499999999999994
Tulane,0.38425925925925924
Tulsa,0.23668981481481485
UAB,-0.06319444444444443
UC Davis,0.9930555555555556
UC Irvine,0.25694444444444453
UC Santa Barbara,-0.1759259259259259
UCF,0.02916666666666671
UCLA,0.4257478632478632
UMBC,0.45486111111111116
UNC Asheville,0.47395833333333337
UNC Greensboro,-0.14409722222222218
UNC Wilmington,-0.21874999999999992
UNLV,0.037962962962962976
USC,-0.009259259259259245
UT Arlington,-0.0069444444444444
UTEP,-0.1277777777777777
UTSA,0.20312500000000006
Utah,0.15407986111111113
Utah St.,-0.38888888888888884
VCU,-0.08878968253968256
Valparaiso,0.027777777777777804
Vanderbilt,-0.30266203703703703
Vermont,0.1666666666666667
Villanova,0.1105324074074074
Virginia,-0.4144736842105263
Virginia Tech,-0.32725694444444453
Wagner,-0.0833333333333333
Wake Forest,-0.40079365079365076
Washington,-0.0902777777777778
Washington St.,-0.3518518518518519
Weber St.,0.1631944444444445
West Virginia,0.17687908496732027
Western Carolina,-0.0069444444444444
Western Kentucky,0.2818287037037037
Western Michigan,-0.1481481481481481
Wichita St.,0.05239898989898994
Winthrop,-0.1188271604938271
Wisconsin,0.29076086956521735
