Year,Team,Conf,AdjEM,AdjO,AdjD,AdjT,SOSEM,SOSO,SOSD
2023,Houston,Amer,+29.72,112.8,83.1,62.5,-0.65,102.9,103.5
2023,Connecticut,BE,+28.71,115.9,87.2,68.4,+2.43,102.5,100.0
2023,Tennessee,SEC,+28.37,110.9,82.5,68.4,-2.16,100.7,102.9
2023,Texas,B12,+27.45,113.6,86.2,68.6,-0.41,103.0,103.4
2023,Purdue,B10,+25.91,118.3,92.4,66.1,+6.04,105.8,99.8
2023,Kentucky,SEC,+25.66,113.1,87.4,69.8,-0.86,103.9,104.8
2023,UCLA,P12,+24.55,116.0,91.4,68.4,+3.47,104.7,101.3
2023,Virginia,ACC,+24.31,114.2,89.9,60.0,+2.72,103.5,100.8
2023,Gonzaga,WCC,+23.64,116.7,93.0,70.3,+13.35,109.4,96.0
2023,Indiana,B10,+23.18,112.3,89.1,69.3,-2.84,101.2,104.1
2023,Kansas,B12,+22.65,112.8,90.1,68.5,+4.32,103.1,98.8
2023,Illinois,B10,+22.58,112.0,89.4,72.1,+3.46,102.9,99.4
2023,Duke,ACC,+22.52,113.5,90.9,65.9,+5.40,106.6,101.2
2023,Alabama,SEC,+22.31,112.8,90.4,71.6,+5.99,105.8,99.8
2023,Auburn,SEC,+22.01,109.7,87.7,69.0,-0.05,101.8,101.9
2023,Baylor,B12,+21.86,116.6,94.7,70.7,+2.86,104.7,101.8
2023,Arkansas,SEC,+21.58,109.6,88.0,72.2,-1.10,100.3,101.4
2023,Arizona,P12,+21.54,117.4,95.9,75.8,+3.45,102.8,99.4
2023,Maryland,B10,+20.60,113.4,92.8,66.4,+0.99,102.8,101.8
2023,Iowa,B10,+20.43,116.3,95.8,70.0,+4.06,103.2,99.2
2023,Ohio St.,B10,+20.27,117.4,97.1,66.6,+1.84,101.8,99.9
2023,Creighton,BE,+19.64,112.3,92.7,68.6,+5.00,104.7,99.8
2023,Saint Mary's,WCC,+19.26,107.2,87.9,64.5,+2.87,103.2,100.4
2023,North Carolina,ACC,+19.03,114.7,95.7,68.1,+10.12,106.5,96.4
