Year,Round,Region,Game,AFSeed,AFTeam,AFScore,AUSeed,AUTeam,AUScore,Fti,Uti
2008,0,PI,-1,16.0,Mount St. Mary's,69.0,16.0,Coppin St.,60.0,2.0,65.0
2008,1,NW,1,1.0,North Carolina,113.0,16.0,Mount St. Mary's,74.0,1.0,2.0
2008,1,NW,2,8.0,Indiana,72.0,9.0,Arkansas,86.0,3.0,4.0
2008,1,NW,3,5.0,Notre Dame,68.0,12.0,George Mason,50.0,5.0,6.0
2008,1,NW,4,4.0,Washington St.,71.0,13.0,Winthrop,40.0,7.0,8.0
2008,1,NW,5,6.0,Oklahoma,72.0,11.0,Saint Joseph's,64.0,9.0,10.0
2008,1,NW,6,3.0,Louisville,79.0,14.0,Boise St.,61.0,11.0,12.0
2008,1,NW,7,7.0,Butler,81.0,10.0,South Alabama,61.0,13.0,14.0
2008,1,NW,8,2.0,Tennessee,72.0,15.0,American,57.0,15.0,16.0
2008,1,SW,9,1.0,Kansas,85.0,16.0,Portland St.,61.0,17.0,18.0
2008,1,SW,10,8.0,UNLV,71.0,9.0,Kent St.,58.0,19.0,20.0
2008,1,SW,11,5.0,Clemson,69.0,12.0,Villanova,75.0,21.0,22.0
2008,1,SW,12,4.0,Vanderbilt,62.0,13.0,Siena,83.0,23.0,24.0
2008,1,SW,13,6.0,USC,67.0,11.0,Kansas St.,80.0,25.0,26.0
2008,1,SW,14,3.0,Wisconsin,71.0,14.0,Cal St. Fullerton,56.0,27.0,28.0
2008,1,SW,15,7.0,Gonzaga,76.0,10.0,Davidson,82.0,29.0,30.0
2008,1,SW,16,2.0,Georgetown,66.0,15.0,UMBC,47.0,31.0,32.0
2008,1,NE,17,1.0,Memphis,87.0,16.0,UT Arlington,63.0,33.0,34.0
2008,1,NE,18,8.0,Mississippi St.,76.0,9.0,Oregon,69.0,35.0,36.0
2008,1,NE,19,5.0,Michigan St.,72.0,12.0,Temple,61.0,37.0,38.0
2008,1,NE,20,4.0,Pittsburgh,82.0,13.0,Oral Roberts,63.0,39.0,40.0
2008,1,NE,21,6.0,Marquette,74.0,11.0,Kentucky,66.0,41.0,42.0
2008,1,NE,22,3.0,Stanford,77.0,14.0,Cornell,53.0,43.0,44.0
2008,1,NE,23,7.0,Miami FL,78.0,10.0,Saint Mary's,64.0,45.0,46.0
2008,1,NE,24,2.0,Texas,74.0,15.0,Austin Peay,54.0,47.0,48.0
2008,1,SE,25,1.0,UCLA,70.0,16.0,Mississippi Valley St.,29.0,49.0,50.0
2008,1,SE,26,8.0,BYU,62.0,9.0,Texas A&M,67.0,51.0,52.0
2008,1,SE,27,5.0,Drake,99.0,12.0,Western Kentucky,101.0,53.0,54.0
2008,1,SE,28,4.0,Connecticut,69.0,13.0,San Diego,70.0,55.0,56.0
2008,1,SE,29,6.0,Purdue,90.0,11.0,Baylor,79.0,57.0,58.0
2008,1,SE,30,3.0,Xavier,73.0,14.0,Georgia,61.0,59.0,60.0
2008,1,SE,31,7.0,West Virginia,75.0,10.0,Arizona,65.0,61.0,62.0
2008,1,SE,32,2.0,Duke,71.0,15.0,Belmont,70.0,63.0,64.0
2008,2,NW,33,1.0,North Carolina,108.0,9.0,Arkansas,77.0,1.0,4.0
2008,2,NW,34,4.0,Washington St.,61.0,5.0,Notre Dame,41.0,7.0,5.0
2008,2,NW,35,3.0,Louisville,78.0,6.0,Oklahoma,48.0,11.0,9.0
2008,2,NW,36,2.0,Tennessee,76.0,7.0,Butler,71.0,15.0,13.0
2008,2,SW,37,1.0,Kansas,75.0,8.0,UNLV,56.0,17.0,19.0
2008,2,SW,38,12.0,Villanova,84.0,13.0,Siena,72.0,22.0,24.0
2008,2,SW,39,3.0,Wisconsin,72.0,11.0,Kansas St.,55.0,27.0,26.0
2008,2,SW,40,2.0,Georgetown,70.0,10.0,Davidson,74.0,31.0,30.0
2008,2,NE,41,1.0,Memphis,77.0,8.0,Mississippi St.,74.0,33.0,35.0
2008,2,NE,42,4.0,Pittsburgh,54.0,5.0,Michigan St.,65.0,39.0,37.0
2008,2,NE,43,3.0,Stanford,82.0,6.0,Marquette,81.0,43.0,41.0
2008,2,NE,44,2.0,Texas,75.0,7.0,Miami FL,72.0,47.0,45.0
2008,2,SE,45,1.0,UCLA,53.0,9.0,Texas A&M,49.0,49.0,52.0
2008,2,SE,46,12.0,Western Kentucky,72.0,13.0,San Diego,63.0,54.0,56.0
2008,2,SE,47,3.0,Xavier,85.0,6.0,Purdue,78.0,59.0,57.0
2008,2,SE,48,2.0,Duke,67.0,7.0,West Virginia,73.0,63.0,61.0
2008,3,NW,49,1.0,North Carolina,68.0,4.0,Washington St.,47.0,1.0,7.0
2008,3,NW,50,2.0,Tennessee,60.0,3.0,Louisville,79.0,15.0,11.0
2008,3,SW,51,1.0,Kansas,72.0,12.0,Villanova,57.0,17.0,22.0
2008,3,SW,52,3.0,Wisconsin,56.0,10.0,Davidson,73.0,27.0,30.0
2008,3,NE,53,1.0,Memphis,92.0,5.0,Michigan St.,74.0,33.0,37.0
2008,3,NE,54,2.0,Texas,82.0,3.0,Stanford,62.0,47.0,43.0
2008,3,SE,55,1.0,UCLA,88.0,12.0,Western Kentucky,78.0,49.0,54.0
2008,3,SE,56,3.0,Xavier,79.0,7.0,West Virginia,75.0,59.0,61.0
2008,4,NW,57,1.0,North Carolina,83.0,3.0,Louisville,73.0,1.0,11.0
2008,4,SW,58,1.0,Kansas,59.0,10.0,Davidson,57.0,17.0,30.0
2008,4,NE,59,1.0,Memphis,85.0,2.0,Texas,67.0,33.0,47.0
2008,4,SE,60,1.0,UCLA,76.0,3.0,Xavier,57.0,49.0,59.0
2008,5,F4,61,1.0,Kansas,84.0,1.0,North Carolina,66.0,17.0,1.0
2008,5,F4,62,1.0,Memphis,78.0,1.0,UCLA,63.0,33.0,49.0
2008,6,Champ,63,1.0,Kansas,75.0,1.0,Memphis,68.0,17.0,33.0
2009,0,PI,-1,16.0,Morehead St.,58.0,16.0,Alabama St.,43.0,2.0,65.0
2009,1,NW,1,1.0,Louisville,74.0,16.0,Morehead St.,54.0,1.0,2.0
2009,1,NW,2,8.0,Ohio St.,72.0,9.0,Siena,74.0,3.0,4.0
2009,1,NW,3,5.0,Utah,71.0,12.0,Arizona,84.0,5.0,6.0
2009,1,NW,4,4.0,Wake Forest,69.0,13.0,Cleveland St.,84.0,7.0,8.0
2009,1,NW,5,6.0,West Virginia,60.0,11.0,Dayton,68.0,9.0,10.0
2009,1,NW,6,3.0,Kansas,84.0,14.0,North Dakota St.,74.0,11.0,12.0
2009,1,NW,7,7.0,Boston College,55.0,10.0,USC,72.0,13.0,14.0
2009,1,NW,8,2.0,Michigan St.,77.0,15.0,Robert Morris,62.0,15.0,16.0
2009,1,SW,9,1.0,Connecticut,103.0,16.0,Chattanooga,47.0,17.0,18.0
2009,1,SW,10,8.0,BYU,66.0,9.0,Texas A&M,79.0,19.0,20.0
2009,1,SW,11,5.0,Purdue,61.0,12.0,Northern Iowa,56.0,21.0,22.0
2009,1,SW,12,4.0,Washington,71.0,13.0,Mississippi St.,58.0,23.0,24.0
2009,1,SW,13,6.0,Marquette,58.0,11.0,Utah St.,57.0,25.0,26.0
2009,1,SW,14,3.0,Missouri,78.0,14.0,Cornell,59.0,27.0,28.0
2009,1,SW,15,7.0,California,71.0,10.0,Maryland,84.0,29.0,30.0
2009,1,SW,16,2.0,Memphis,81.0,15.0,CSUN,70.0,31.0,32.0
2009,1,NE,17,1.0,Pittsburgh,72.0,16.0,East Tennessee St.,62.0,33.0,34.0
2009,1,NE,18,8.0,Oklahoma St.,77.0,9.0,Tennessee,75.0,35.0,36.0
2009,1,NE,19,5.0,Florida St.,59.0,12.0,Wisconsin,61.0,37.0,38.0
2009,1,NE,20,4.0,Xavier,77.0,13.0,Portland St.,59.0,39.0,40.0
2009,1,NE,21,6.0,UCLA,65.0,11.0,VCU,64.0,41.0,42.0
2009,1,NE,22,3.0,Villanova,80.0,14.0,American,67.0,43.0,44.0
2009,1,NE,23,7.0,Texas,76.0,10.0,Minnesota,62.0,45.0,46.0
2009,1,NE,24,2.0,Duke,86.0,15.0,Binghamton,62.0,47.0,48.0
2009,1,SE,25,1.0,North Carolina,101.0,16.0,Radford,58.0,49.0,50.0
2009,1,SE,26,8.0,LSU,75.0,9.0,Butler,71.0,51.0,52.0
2009,1,SE,27,5.0,Illinois,72.0,12.0,Western Kentucky,76.0,53.0,54.0
2009,1,SE,28,4.0,Gonzaga,77.0,13.0,Akron,64.0,55.0,56.0
2009,1,SE,29,6.0,Arizona St.,66.0,11.0,Temple,57.0,57.0,58.0
2009,1,SE,30,3.0,Syracuse,59.0,14.0,Stephen F. Austin,44.0,59.0,60.0
2009,1,SE,31,7.0,Clemson,59.0,10.0,Michigan,62.0,61.0,62.0
2009,1,SE,32,2.0,Oklahoma,82.0,15.0,Morgan St.,54.0,63.0,64.0
2009,2,NW,33,1.0,Louisville,79.0,9.0,Siena,72.0,1.0,4.0
2009,2,NW,34,12.0,Arizona,71.0,13.0,Cleveland St.,57.0,6.0,8.0
2009,2,NW,35,3.0,Kansas,60.0,11.0,Dayton,43.0,11.0,10.0
2009,2,NW,36,2.0,Michigan St.,74.0,10.0,USC,69.0,15.0,14.0
2009,2,SW,37,1.0,Connecticut,92.0,9.0,Texas A&M,66.0,17.0,20.0
2009,2,SW,38,4.0,Washington,74.0,5.0,Purdue,76.0,23.0,21.0
2009,2,SW,39,3.0,Missouri,83.0,6.0,Marquette,79.0,27.0,25.0
2009,2,SW,40,2.0,Memphis,89.0,10.0,Maryland,70.0,31.0,30.0
2009,2,NE,41,1.0,Pittsburgh,84.0,8.0,Oklahoma St.,76.0,33.0,35.0
2009,2,NE,42,4.0,Xavier,60.0,12.0,Wisconsin,49.0,39.0,38.0
2009,2,NE,43,3.0,Villanova,89.0,6.0,UCLA,69.0,43.0,41.0
2009,2,NE,44,2.0,Duke,74.0,7.0,Texas,69.0,47.0,45.0
2009,2,SE,45,1.0,North Carolina,84.0,8.0,LSU,70.0,49.0,51.0
2009,2,SE,46,4.0,Gonzaga,83.0,12.0,Western Kentucky,81.0,55.0,54.0
2009,2,SE,47,3.0,Syracuse,78.0,6.0,Arizona St.,67.0,59.0,57.0
2009,2,SE,48,2.0,Oklahoma,73.0,10.0,Michigan,63.0,63.0,62.0
2009,3,NW,49,1.0,Louisville,103.0,12.0,Arizona,64.0,1.0,6.0
2009,3,NW,50,2.0,Michigan St.,67.0,3.0,Kansas,62.0,15.0,11.0
