Team,PASE
Abilene Christian,0.34375
Akron,-0.2760416666666667
Alabama,-0.31473214285714285
Alabama St.,0.984375
Albany,0.22395833333333334
American,0.12109375
Appalachian St.,
Arizona,-0.23317307692307693
Arizona St.,-0.02734375
Arkansas,0.3359375
Arkansas Pine Bluff,0.984375
Auburn,-0.5651041666666666
Austin Peay,-0.1015625
BYU,-0.359375
Baylor,-0.056490384615384616
Belmont,-0.2630208333333333
Binghamton,-0.1875
Boise St.,-0.4791666666666667
Boston College,-0.9375
Boston University,-0.015625
Bradley,-0.1875
Bryant,-0.1875
Bucknell,-0.35546875
Buffalo,0.08203125
Butler,1.0243055555555556
CSUN,-0.1875
Cal Poly,0.984375
Cal St. Bakersfield,-0.1875
Cal St. Fullerton,-0.16666666666666666
California,-0.4609375
Charleston,-0.359375
Chattanooga,-0.2760416666666667
Cincinnati,-0.2690972222222222
Clemson,-0.189453125
Cleveland St.,0.2734375
Coastal Carolina,-0.015625
Colgate,-0.15
Colorado,-0.11197916666666667
Colorado St.,-0.3
Connecticut,0.7627840909090909
Coppin St.,
Cornell,0.4010416666666667
Creighton,0.0828125
Davidson,0.0625
Dayton,0.24479166666666666
Delaware,-0.2265625
Detroit Mercy,-0.1875
Drake,-0.6125
Drexel,-0.015625
Duke,-0.1552734375
Duquesne,0.09375
East Tennessee St.,-0.09895833333333333
Eastern Kentucky,-0.1875
Eastern Washington,-0.1953125
Fairleigh Dickinson,1.484375
Florida,0.203125
Florida Atlantic,1.296875
Florida Gulf Coast,0.890625
Florida St.,0.119140625
Fresno St.,-0.125
Furman,0.734375
Gardner Webb,-0.015625
George Mason,-0.1484375
George Washington,-0.65625
Georgetown,-1.1495535714285714
Georgia,-0.4765625
Georgia St.,0.13671875
Georgia Tech,-0.109375
Gonzaga,0.21231617647058823
Grambling St.,0.984375
Grand Canyon,-0.03125
Green Bay,-0.125
Hampton,0.3177083333333333
Harvard,0.12890625
Hawaii,0.734375
High Point,-0.265625
Holy Cross,0.984375
Houston,-0.228515625
Howard,-0.015625
Illinois,-0.48046875
Indiana,-0.203125
Indiana St.,-0.125
Iona,-0.17633928571428573
Iowa,-0.4166666666666667
Iowa St.,-0.3025568181818182
Jacksonville St.,-0.1875
James Madison,0.71875
Kansas,-0.2536764705882353
Kansas St.,0.06875
Kennesaw St.,-0.125
Kent St.,-0.3489583333333333
Kentucky,0.3080357142857143
LIU,-0.1015625
LSU,-0.159375
La Salle,2.734375
Lamar,
Lehigh,0.3984375
Liberty,-0.11979166666666667
Lipscomb,-0.15625
Little Rock,0.453125
Long Beach St.,-0.3671875
Longwood,-0.0703125
Louisiana,-0.13541666666666666
Louisville,0.15767045454545456
Loyola Chicago,1.2604166666666667
Loyola MD,-0.1875
Manhattan,-0.265625
Marquette,-0.21354166666666666
Marshall,0.734375
Maryland,-0.14583333333333334
Massachusetts,-0.734375
McNeese St.,-0.546875
Memphis,-0.078125
Mercer,0.875
Miami FL,0.5424107142857143
Michigan,0.59375
Michigan St.,0.482421875
Middle Tennessee,0.6328125
Milwaukee,-0.1875
Minnesota,-0.415625
Mississippi,-0.234375
Mississippi St.,-0.53125
Mississippi Valley St.,-0.015625
Missouri,-0.4756944444444444
Montana,-0.18229166666666666
Montana St.,-0.125
Morehead St.,0.3671875
Morgan St.,-0.1875
Mount St. Mary's,0.984375
Murray St.,0.19375
Nebraska,-0.828125
Nebraska Omaha,-0.1875
Nevada,-0.24609375
New Mexico,-0.8932291666666666
New Mexico St.,-0.2552083333333333
New Orleans,
Norfolk St.,0.44140625
North Carolina,0.5457589285714286
North Carolina A&T,0.984375
North Carolina Central,-0.125
North Carolina St.,0.5111607142857143
North Dakota,-0.1875
North Dakota St.,0.28125
North Florida,
North Texas,0.2734375
Northeastern,-0.1953125
Northern Colorado,-0.1875
Northern Iowa,0.1875
Northern Kentucky,-0.109375
Northwestern,0.21875
Northwestern St.,-0.125
Notre Dame,0.043402777777777776
Oakland,0.16145833333333334
Ohio,1.1145833333333333
Ohio St.,-0.1747159090909091
Oklahoma,0.06875
Oklahoma St.,-0.6160714285714286
Old Dominion,-0.22916666666666666
Oral Roberts,0.3333333333333333
Oregon,0.446875
Oregon St.,0.7578125
Pacific,-0.1875
Penn,-0.015625
Penn St.,-0.0625
Pittsburgh,-0.474609375
Portland St.,-0.140625
Prairie View A&M,
Princeton,0.3333333333333333
Providence,-0.3958333333333333
Purdue,-0.26458333333333334
Radford,0.484375
Rhode Island,0.078125
Richmond,0.3229166666666667
Robert Morris,0.10546875
Rutgers,0.4375
SIUE,-0.015625
SMU,-0.734375
Saint Francis,
Saint Joseph's,-0.40625
Saint Louis,-0.16796875
Saint Mary's,-0.3171875
Saint Peter's,0.8333333333333334
Sam Houston St.,-0.125
Samford,-0.265625
San Diego,0.734375
San Diego St.,0.09975961538461539
San Francisco,-0.5625
Seton Hall,-0.490625
Siena,0.2708333333333333
South Alabama,-0.5625
South Carolina,1.1640625
South Dakota St.,-0.3229166666666667
South Florida,1.453125
Southeast Missouri,
Southern,-0.015625
Southern Miss,-0.65625
St. Bonaventure,-0.22916666666666666
St. John's,-1.1875
Stanford,0.765625
Stephen F. Austin,0.10625
Stetson,-0.015625
Stony Brook,-0.265625
Syracuse,0.5140625
TCU,-0.1953125
Temple,-0.5558035714285714
Tennessee,-0.10026041666666667
Texas,-0.29799107142857145
Texas A&M,-0.1597222222222222
Texas A&M Corpus Chris,0.984375
Texas Southern,0.55
Texas Tech,0.16517857142857142
Troy,-0.15625
Tulsa,-0.265625
UAB,-0.07291666666666667
UC Davis,0.984375
UC Irvine,0.234375
UC San Diego,-0.546875
UC Santa Barbara,-0.26171875
UCF,0.34375
UCLA,0.48579545454545453
UMBC,0.3984375
UNC Asheville,0.1484375
UNC Greensboro,-0.265625
UNC Wilmington,-0.3125
UNLV,-0.625
USC,0.11607142857142858
UT Arlington,-0.015625
UTEP,-0.546875
UTSA,0.984375
Utah,-0.3958333333333333
Utah St.,-0.56640625
VCU,-0.12239583333333333
Valparaiso,-0.1953125
Vanderbilt,-0.953125
Vermont,-0.04017857142857143
Villanova,0.23557692307692307
Virginia,-0.8784722222222222
Virginia Tech,-0.496875
Wagner,0.984375
Wake Forest,-0.6328125
Washington,0.22265625
Washington St.,0.2265625
Weber St.,-0.1015625
West Virginia,0.008522727272727272
Western Kentucky,0.5375
Western Michigan,-0.125
Wichita St.,0.140625
Winthrop,-0.359375
Wisconsin,0.051041666666666666
Wofford,-0.20833333333333334
Wright St.,-0.0703125
Wyoming,-0.546875
Xavier,0.353125
Yale,0.134375
