Year,Round,Region,Game,AFSeed,AFTeam,AFScore,AUSeed,AUTeam,AUScore,Fti,Uti,Conf_x,NetRtg_x,ORtg_x,DRtg_x,AdjT_x,BPI(O)_x,BPI(D)_x,W_x,L_x,Pts_x,Opp_x,MOV_x,SOS_x,OSRS_x,DSRS_x,SRS_x,Adj OE_x,Adj DE_x,Barthag_x,Wins_x,Games_x,eFG_x,eFG D._x,FT Rate_x,FT Rate D_x,TOV%_x,TOV% D_x,O Reb%_x,Op OReb%_x,Raw T_x,2P %_x,2P % D._x,3P %_x,3P % D._x,Blk %_x,Blked %_x,Ast %_x,Op Ast %_x,3P Rate_x,3P Rate D_x,Adj. T_x,Avg Hgt._x,Eff. Hgt._x,Exp._x,PAKE_x,PASE_x_x,Talent_x,FT%_x,Op. FT%_x,PPP Off._x,PPP Def._x,Elite SOS_x,PASE_y_x,Conf_y,NetRtg_y,ORtg_y,DRtg_y,AdjT_y,BPI(O)_y,BPI(D)_y,W_y,L_y,Pts_y,Opp_y,MOV_y,SOS_y,OSRS_y,DSRS_y,SRS_y,Adj OE_y,Adj DE_y,Barthag_y,Wins_y,Games_y,eFG_y,eFG D._y,FT Rate_y,FT Rate D_y,TOV%_y,TOV% D_y,O Reb%_y,Op OReb%_y,Raw T_y,2P %_y,2P % D._y,3P %_y,3P % D._y,Blk %_y,Blked %_y,Ast %_y,Op Ast %_y,3P Rate_y,3P Rate D_y,Adj. T_y,Avg Hgt._y,Eff. Hgt._y,Exp._y,PAKE_y,PASE_x_y,Talent_y,FT%_y,Op. FT%_y,PPP Off._y,PPP Def._y,Elite SOS_y,PASE_y_y
2008,0,PI,-1,16.0,Mount St. Mary's,69.0,16.0,Coppin St.,60.0,2.0,65.0,NEC,-1.32,99.3,100.6,66.1,-2.2,1.7,19.0,15.0,69.2,67.7,1.53,-5.12,-3.87,0.28,-3.59,99.877,100.829,0.473,19.0,34.0,49.8,47.2,38.7,38.0,20.8,21.5,29.8,33.4,68.6,47.9,46.7,36.1,32.2,9.1,7.8,53.2,48.0,30.4,30.4,65.898,75.78,79.492,1.448,-0.1,-0.013,7.293,70.3,70.2,1.005,0.983,11.388,0.9705882352941176,MEAC,-14.41,92.4,106.8,62.9,-9.6,-0.6,16.0,21.0,59.8,66.0,-6.24,-6.2,-12.38,-2.13,-14.51,92.351,105.737,0.174,14.0,35.0,43.5,50.4,36.6,39.9,22.2,24.9,31.7,38.3,64.2,42.0,49.1,32.0,34.9,6.7,11.2,45.4,60.3,24.4,37.8,62.148,76.401,79.214,1.986,0.0,0.0,4.12,71.2,65.9,0.906,1.014,15.835,
2008,1,NW,1,1.0,North Carolina,113.0,16.0,Mount St. Mary's,74.0,1.0,2.0,ACC,30.22,122.1,91.9,72.5,19.2,1.0,36.0,3.0,88.6,72.5,16.05,8.12,23.41,0.76,24.17,123.606,92.798,0.964,36.0,39.0,53.0,48.2,38.0,25.7,18.8,21.1,42.5,29.0,75.4,52.1,47.8,37.2,32.6,10.6,9.9,52.5,50.3,22.6,34.2,72.994,77.311,80.158,1.595,1.1,0.711,90.906,75.7,66.8,1.159,0.949,33.815,0.5901960784313726,NEC,-1.32,99.3,100.6,66.1,-2.2,1.7,19.0,15.0,69.2,67.7,1.53,-5.12,-3.87,0.28,-3.59,99.877,100.829,0.473,19.0,34.0,49.8,47.2,38.7,38.0,20.8,21.5,29.8,33.4,68.6,47.9,46.7,36.1,32.2,9.1,7.8,53.2,48.0,30.4,30.4,65.898,75.78,79.492,1.448,-0.1,-0.013,7.293,70.3,70.2,1.005,0.983,11.388,0.9705882352941176
2008,1,NW,2,8.0,Indiana,72.0,9.0,Arkansas,86.0,3.0,4.0,B10,18.43,114.6,96.1,66.2,8.5,4.1,25.0,8.0,75.0,65.3,9.7,6.08,10.93,4.85,15.78,114.781,95.785,0.889,25.0,33.0,52.3,47.3,41.9,31.0,20.0,19.8,36.1,29.1,67.3,52.3,45.1,34.9,34.1,10.3,8.0,52.0,56.1,34.9,35.7,66.774,77.392,80.08,1.587,-0.8,-0.724,52.71,75.9,65.0,1.104,0.961,27.854,-0.12605042016806717,SEC,15.19,111.4,96.2,66.5,5.5,4.1,23.0,12.0,74.1,68.3,5.74,6.73,6.67,5.81,12.48,111.509,95.43,0.857,23.0,35.0,51.9,48.4,37.9,35.6,21.8,21.2,37.6,31.9,69.4,52.3,47.4,34.1,33.5,14.1,9.9,54.0,52.9,30.3,34.6,66.861,77.418,81.732,2.232,0.4,0.388,59.525,67.8,69.7,1.064,0.981,27.542,0.5294117647058824
2008,1,NW,3,5.0,Notre Dame,68.0,12.0,George Mason,50.0,5.0,6.0,BE,19.07,114.6,95.6,69.5,10.6,1.6,25.0,8.0,79.0,69.6,9.42,7.03,13.12,3.03,16.15,115.367,95.988,0.892,25.0,33.0,52.2,46.6,34.0,23.0,18.3,17.5,36.2,30.7,70.8,47.8,44.8,40.5,33.5,8.8,9.1,66.5,57.0,33.6,33.2,68.857,77.364,81.067,1.735,-0.2,-0.158,80.171,73.8,64.5,1.113,0.98,28.976,0.11274509803921573,CAA,9.68,110.7,101.0,61.6,2.0,4.8,23.0,11.0,69.3,62.5,6.82,-0.75,0.96,5.11,6.07,108.815,99.446,0.738,23.0,34.0,52.3,47.5,39.8,27.0,18.7,18.4,32.0,27.9,63.3,52.4,46.4,34.7,33.2,8.7,7.5,53.8,51.2,33.2,33.1,62.029,76.226,78.876,1.976,-0.4,-0.507,13.842,70.3,71.7,1.082,0.976,14.226,-0.24509803921568626
2008,1,NW,4,4.0,Washington St.,71.0,13.0,Winthrop,40.0,7.0,8.0,P10,24.32,115.1,90.8,58.3,1.1,13.2,26.0,9.0,66.4,56.4,10.0,6.35,0.1,16.25,16.35,114.08,90.708,0.933,26.0,35.0,53.7,46.7,38.5,28.4,17.0,21.9,27.8,29.8,59.6,53.0,45.3,36.8,33.1,8.7,8.0,59.0,49.8,33.9,32.4,58.318,77.764,81.077,2.39,0.2,0.454,24.685,72.8,72.0,1.103,0.937,32.732,0.30147058823529416,BSth,6.38,99.5,93.1,61.6,-4.7,10.5,22.0,12.0,64.9,58.5,6.32,-1.45,-7.17,10.78,3.61,97.126,91.662,0.661,20.0,32.0,49.6,46.6,35.6,33.6,19.8,23.3,33.2,29.2,63.8,46.7,46.7,37.2,31.0,11.7,7.1,54.5,60.2,31.9,42.3,61.812,76.006,79.42,1.963,-0.2,-0.25,4.133,59.3,69.6,1.005,0.925,16.981,-0.338235294117647
2008,1,NW,5,6.0,Oklahoma,72.0,11.0,Saint Joseph's,64.0,9.0,10.0,B12,14.47,109.5,95.1,63.1,2.6,6.9,23.0,12.0,67.9,63.8,4.11,7.85,3.36,8.61,11.97,108.156,94.232,0.83,23.0,35.0,50.1,47.0,38.7,30.3,19.7,20.2,33.4,30.2,64.8,49.0,46.0,34.8,32.6,10.7,9.0,52.5,46.9,33.6,34.7,63.448,77.981,81.253,1.669,0.3,-0.059,63.704,68.1,72.7,1.038,0.975,33.847,0.14411764705882354,A10,14.32,115.1,100.8,64.0,6.1,3.2,21.0,13.0,73.1,67.4,5.65,3.98,6.05,3.58,9.63,114.564,100.131,0.825,21.0,34.0,54.6,50.6,39.7,33.3,19.3,21.5,32.5,34.0,65.2,52.8,47.7,38.6,37.0,13.3,10.0,58.4,60.6,35.6,37.6,63.672,78.503,81.31,1.974,-0.7,-0.638,34.745,72.6,68.5,1.112,1.026,24.038,-0.36274509803921573
2008,1,NW,6,3.0,Louisville,79.0,14.0,Boise St.,61.0,11.0,12.0,BE,25.41,113.1,87.7,65.3,7.1,9.1,27.0,9.0,72.5,61.5,11.0,8.0,7.15,11.85,19.0,112.796,87.415,0.949,27.0,36.0,53.1,44.1,36.5,33.5,20.2,21.7,33.4,30.9,67.4,53.5,43.1,35.0,30.5,13.6,7.9,58.2,57.1,38.7,34.6,65.484,77.488,81.28,1.617,0.5,1.151,83.94,64.7,68.3,1.073,0.91,31.836,0.2593582887700535,WAC,3.89,108.7,104.8,70.7,8.3,-6.1,25.0,9.0,81.4,75.5,5.88,-2.07,10.33,-8.73,1.6,106.61,103.155,0.594,24.0,33.0,57.1,50.3,39.7,33.6,21.2,19.5,30.4,29.4,72.7,56.2,49.1,39.2,35.2,5.5,8.4,60.5,49.6,35.6,32.1,71.24,76.999,79.898,2.32,-0.1,-0.158,1.289,66.2,70.5,1.083,1.024,13.468,-0.45098039215686275
2008,1,NW,7,7.0,Butler,81.0,10.0,South Alabama,61.0,13.0,14.0,Horz,19.97,116.2,96.2,59.5,3.3,9.2,30.0,4.0,68.8,58.4,10.41,2.64,2.38,10.63,13.0,114.978,95.723,0.892,30.0,34.0,54.1,48.0,36.7,32.6,16.9,22.9,29.8,32.2,60.5,51.3,48.2,38.0,31.8,7.2,9.3,57.3,45.4,48.5,31.7,59.527,75.775,79.139,2.186,-0.3,0.099,11.348,73.7,66.5,1.124,0.954,17.772,1.0751633986928104,SB,11.8,112.6,100.8,64.8,4.0,2.1,26.0,7.0,75.1,65.4,9.7,-1.21,5.46,2.3,7.76,111.317,100.319,0.768,24.0,31.0,53.9,48.4,46.0,31.0,20.6,20.4,37.9,30.5,66.9,53.3,47.3,36.8,33.5,8.6,8.1,60.8,56.3,33.7,37.5,64.978,75.45,79.1,2.249,-0.4,-0.612,21.566,70.3,67.0,1.119,0.983,14.336,-0.3235294117647059
2008,1,NW,8,2.0,Tennessee,72.0,15.0,American,57.0,15.0,16.0,SEC,22.17,116.2,94.0,70.7,13.3,2.8,31.0,5.0,81.8,70.0,11.86,7.84,15.69,2.73,18.41,115.349,92.519,0.927,30.0,35.0,52.4,49.1,38.0,39.6,18.2,24.7,36.2,34.6,72.8,51.5,50.3,35.8,31.2,8.9,10.9,61.1,55.0,38.9,35.9,71.135,76.574,79.866,1.716,0.2,-0.329,57.614,65.7,67.4,1.113,0.968,32.237,-0.011029411764705862,Pat,1.67,107.9,106.3,60.4,-3.0,3.8,21.0,12.0,64.8,62.1,2.76,-4.0,-4.6,2.73,-1.87,106.188,105.245,0.526,21.0,33.0,52.2,47.7,41.3,38.9,22.5,19.7,32.9,30.0,61.7,46.2,45.0,40.8,35.0,8.2,13.2,55.9,54.6,40.2,35.6,61.007,75.098,79.072,2.066,-0.2,-0.105,10.824,73.9,73.7,1.051,1.006,12.947,-0.1568627450980392
2008,1,SW,9,1.0,Kansas,85.0,16.0,Portland St.,61.0,17.0,18.0,B12,35.21,120.9,85.7,66.8,12.4,9.6,37.0,3.0,80.5,61.5,19.03,8.2,14.9,11.99,26.9,122.068,86.415,0.982,36.0,39.0,56.6,44.3,36.4,31.0,19.1,22.4,37.6,29.1,68.5,55.4,41.2,39.7,32.8,16.8,6.4,61.1,52.7,29.3,38.3,66.958,77.1,81.427,2.047,2.1,2.711,89.633,70.7,68.2,1.163,0.892,32.858,-0.17993079584775074,BSky,5.4,108.6,103.2,66.3,3.8,-0.9,23.0,10.0,73.9,68.0,5.85,-3.01,4.11,-2.38,1.72,107.566,102.67,0.631,21.0,31.0,54.4,50.6,37.8,34.9,20.8,21.4,34.1,31.7,67.2,50.8,49.7,39.7,34.8,9.3,6.4,61.1,55.2,41.2,33.8,66.396,75.471,80.158,2.061,-0.1,-0.013,1.355,67.2,71.8,1.084,1.013,16.214,-0.13970588235294118
