Year,Team,Adj OE,Adj DE,Barthag,Wins,Games,eFG,eFG D.,FT Rate,FT Rate D,TOV%,TOV% D,O Reb%,Op OReb%,Raw T,2P %,2P % D.,3P %,3P % D.,Blk %,Blked %,Ast %,Op Ast %,3P Rate,3P Rate D,Adj. T,Avg Hgt.,Eff. Hgt.,Exp.,PAKE,PASE,Talent,FT%,Op. FT%,PPP Off.,PPP Def.,Elite SOS
2008,Kansas,122.068,86.415,0.982,36,39,56.6,44.3,36.4,31.0,19.1,22.4,37.6,29.1,68.5,55.4,41.2,39.7,32.8,16.8,6.4,61.1,52.7,29.3,38.3,66.958,77.1,81.427,2.047,2.1,2.711,89.633,70.7,68.2,1.163,0.892,32.858
2008,Memphis,117.691,86.912,0.97,38,40,52.7,43.4,40.4,31.7,16.6,22.5,37.8,29.6,70.2,52.9,42.6,34.9,30.2,15.0,8.2,55.7,49.2,35.2,28.7,68.495,77.749,80.518,1.605,1.5,1.711,82.995,61.4,68.0,1.131,0.877,25.812
2008,UCLA,116.878,87.671,0.965,34,38,52.2,46.5,37.3,25.6,19.1,21.8,39.2,27.2,65.3,52.4,45.4,34.4,32.9,10.9,6.8,54.2,50.5,28.0,27.5,64.392,77.86,81.032,1.491,1.0,0.711,78.469,73.6,68.5,1.12,0.907,33.434
2008,North Carolina,123.606,92.798,0.964,36,39,53.0,48.2,38.0,25.7,18.8,21.1,42.5,29.0,75.4,52.1,47.8,37.2,32.6,10.6,9.9,52.5,50.3,22.6,34.2,72.994,77.311,80.158,1.595,1.1,0.711,90.906,75.7,66.8,1.159,0.949,33.815
2008,Wisconsin,113.269,86.297,0.958,31,36,50.6,43.4,39.9,25.4,19.5,21.9,36.2,28.6,62.4,49.3,41.7,35.6,31.3,9.5,8.0,54.1,50.1,31.8,33.0,61.432,77.432,81.076,1.939,-0.2,0.151,82.1,70.5,68.3,1.078,0.872,29.359
2008,Louisville,112.796,87.415,0.949,27,36,53.1,44.1,36.5,33.5,20.2,21.7,33.4,30.9,67.4,53.5,43.1,35.0,30.5,13.6,7.9,58.2,57.1,38.7,34.6,65.484,77.488,81.28,1.617,0.5,1.151,83.94,64.7,68.3,1.073,0.91,31.836
2008,Duke,116.55,90.763,0.947,28,34,53.6,47.6,40.9,31.9,18.3,24.7,33.9,33.7,74.1,51.7,47.0,37.7,32.9,8.8,11.4,51.6,47.6,39.2,25.0,71.759,77.243,79.919,1.23,-1.2,-1.329,95.074,69.7,67.2,1.119,0.933,33.439
2008,Texas,121.285,94.706,0.945,30,37,51.5,45.7,32.0,31.0,14.2,17.9,36.3,33.6,65.3,48.5,43.2,38.0,33.2,14.2,7.5,48.3,56.2,34.9,38.1,63.022,75.941,80.494,1.229,0.6,0.671,81.767,68.3,68.6,1.143,0.997,35.59
2008,Georgetown,113.66,88.759,0.945,28,34,56.7,41.9,34.0,36.0,21.3,19.8,33.1,32.7,62.8,56.2,40.5,38.4,29.6,13.8,8.4,61.6,54.3,40.2,35.5,61.259,77.98,82.117,1.773,-0.9,-1.329,71.165,65.4,67.8,1.101,0.919,30.827
2008,Washington St.,114.08,90.708,0.933,26,35,53.7,46.7,38.5,28.4,17.0,21.9,27.8,29.8,59.6,53.0,45.3,36.8,33.1,8.7,8.0,59.0,49.8,33.9,32.4,58.318,77.764,81.077,2.39,0.2,0.454,24.685,72.8,72.0,1.103,0.937,32.732
