Team,PASE
Abilene Christian,0.34375
Akron,-0.278125
Alabama,-0.0078125
Alabama St.,
Albany,0.21875
American,-0.1666666666666666
Appalachian St.,
Arizona,-0.12109375
Arizona St.,-0.02734375
Arkansas,0.4642857142857143
Arkansas Pine Bluff,0.96875
Auburn,-0.0375
Austin Peay,-0.109375
BYU,-0.3125
Baylor,-0.1927083333333333
Belmont,-0.2630208333333333
Binghamton,-0.1875
Boise St.,-0.4791666666666667
Boston College,-0.9375
Boston University,-0.03125
Bradley,-0.1875
Bucknell,-0.35546875
Buffalo,0.08203125
Butler,1.0243055555555556
Cal Poly,0.96875
Cal St. Bakersfield,-0.1875
Cal St. Fullerton,-0.1666666666666666
Cal St. Northridge,-0.1875
California,-0.4609375
Charleston,-0.359375
Chattanooga,-0.28125
Cincinnati,-0.2690972222222222
Clemson,-0.0535714285714285
Cleveland St.,0.2734375
Coastal Carolina,-0.03125
Colgate,-0.15
Colorado,-0.1119791666666666
Colorado St.,-0.23828125
Connecticut,0.9109375
Coppin St.,
Cornell,0.4010416666666667
Creighton,0.1649305555555555
Davidson,0.0625
Dayton,0.2447916666666666
Delaware,-0.2265625
Detroit Mercy,-0.1875
Drake,-0.5390625
Drexel,-0.03125
Duke,0.04375
Duquesne,0.09375
East Tennessee St.,-0.109375
Eastern Kentucky,-0.1875
Eastern Washington,-0.1953125
Fairleigh Dickinson,1.46875
Florida,0.5421875
Florida Atlantic,1.296875
Florida Gulf Coast,0.8854166666666666
Florida St.,0.119140625
Fresno St.,-0.125
Furman,0.734375
Gardner Webb,-0.03125
George Mason,-0.1484375
George Washington,-0.65625
Georgetown,-1.1495535714285714
Georgia,-0.4166666666666667
Georgia St.,0.1328125
Georgia Tech,-0.109375
Gonzaga,0.267578125
Grambling St.,0.96875
Grand Canyon,0.046875
Green Bay,-0.125
Hampton,0.3020833333333333
Hartford,-0.03125
Harvard,0.12890625
Hawaii,0.734375
Holy Cross,0.96875
Houston,0.1919642857142857
Howard,-0.03125
Illinois,-0.4464285714285714
Indiana,-0.2053571428571428
Indiana St.,-0.125
Iona,-0.1785714285714285
Iowa,-0.4166666666666667
Iowa St.,-0.1421875
Jacksonville St.,-0.1875
James Madison,0.7109375
Kansas,-0.2197265625
Kansas St.,0.06875
Kennesaw St.,-0.125
Kent St.,-0.3489583333333333
