<<<<<<< HEAD
Year,Team,Conf,NetRtg,ORtg,DRtg,AdjT
2008,Kansas,B12,35.21,120.9,85.7,66.8
2008,Memphis,CUSA,31.51,118.0,86.5,68.1
2008,North Carolina,ACC,30.22,122.1,91.9,72.5
2008,UCLA,P10,29.94,118.0,88.1,64.1
2008,Wisconsin,B10,26.68,113.5,86.8,61.1
2008,Duke,ACC,26.4,116.3,89.9,71.5
2008,Georgetown,BE,25.56,115.2,89.7,60.5
2008,Louisville,BE,25.41,113.1,87.7,65.3
2008,Texas,B12,25.09,120.6,95.5,63.9
2008,Washington St.,P10,24.32,115.1,90.8,58.3
2008,Davidson,SC,23.61,117.0,93.4,66.2
2008,Stanford,P10,22.75,113.6,90.9,63.4
2008,Tennessee,SEC,22.17,116.2,94.0,70.7
2008,Marquette,BE,22.16,115.3,93.1,66.6
2008,Xavier,A10,22.05,117.3,95.2,63.8
2008,Clemson,ACC,22.03,114.0,91.9,68.0
2008,Drake,MVC,21.46,120.0,98.5,62.9
2008,West Virginia,BE,21.29,114.6,93.3,63.8
2008,Michigan St.,B10,21.15,115.8,94.7,63.3
2008,Butler,Horz,19.97,116.2,96.2,59.5
2008,Texas A&M,B12,19.93,112.3,92.3,61.8
2008,Pittsburgh,BE,19.91,116.5,96.6,63.9
2008,Arizona,P10,19.14,116.4,97.3,63.5
2008,Notre Dame,BE,19.07,114.6,95.6,69.5
2008,Gonzaga,WCC,19.05,114.5,95.5,65.9
2008,Kansas St.,B12,18.9,114.2,95.3,69.7
2008,Connecticut,BE,18.9,115.2,96.3,67.1
2008,USC,P10,18.67,110.5,91.9,65.2
2008,Indiana,B10,18.43,114.6,96.1,66.2
2008,Purdue,B10,18.3,110.5,92.2,66.9
2008,Ohio St.,B10,17.79,110.2,92.4,64.0
2008,New Mexico,MWC,17.08,111.1,94.0,64.4
2008,Mississippi St.,SEC,16.77,108.2,91.5,66.6
2008,Virginia Tech,ACC,16.29,107.1,90.8,65.8
2008,BYU,MWC,15.76,107.4,91.7,67.8
2008,Oregon,P10,15.66,118.8,103.1,65.8
2008,Miami FL,ACC,15.38,112.5,97.1,65.8
2008,Florida,SEC,15.37,115.9,100.5,65.0
2008,Nebraska,B12,15.31,108.0,92.7,61.6
2008,Arkansas,SEC,15.19,111.4,96.2,66.5
2008,Baylor,B12,14.82,115.7,100.9,70.1
2008,Saint Mary's,WCC,14.66,109.2,94.6,66.4
2008,Western Kentucky,SB,14.6,111.9,97.3,68.2
2008,Oklahoma,B12,14.47,109.5,95.1,63.1
2008,Saint Joseph's,A10,14.32,115.1,100.8,64.0
2008,Villanova,BE,14.21,109.2,95.0,68.1
2008,Syracuse,BE,14.12,112.6,98.4,69.9
2008,UNLV,MWC,13.71,110.2,96.5,63.9
2008,Arizona St.,P10,13.62,110.2,96.6,61.2
2008,Mississippi,SEC,13.49,114.2,100.7,69.3
2008,Illinois,B10,13.47,107.5,94.0,61.0
2008,Massachusetts,A10,13.1,110.5,97.3,74.6
2008,Georgia Tech,ACC,13.1,114.5,101.4,68.6
2008,Missouri,B12,13.04,113.3,100.2,69.3
2008,Kent St.,MAC,13.04,107.8,94.8,65.1
2008,Vanderbilt,SEC,12.65,112.3,99.6,68.2
2008,Temple,A10,12.37,112.8,100.4,63.6
2008,Illinois St.,MVC,12.37,106.2,93.9,62.5
2008,Florida St.,ACC,12.26,108.7,96.4,64.8
2008,Dayton,A10,12.08,111.8,99.7,61.6
2008,UAB,CUSA,12.07,110.7,98.6,66.8
2008,Southern Illinois,MVC,12.04,105.7,93.7,61.1
2008,Maryland,ACC,11.99,107.1,95.1,69.9
2008,Utah,MWC,11.94,110.2,98.3,62.9
2008,South Alabama,SB,11.8,112.6,100.8,64.8
2008,IU Indy,Sum,11.68,116.5,104.8,60.9
2008,California,P10,11.51,115.8,104.3,67.8
2008,VCU,CAA,11.45,104.7,93.2,63.6
2008,Washington,P10,11.36,109.7,98.4,68.6
2008,Minnesota,B10,11.34,108.4,97.1,65.1
2008,Houston,CUSA,11.28,114.2,102.9,69.1
2008,Rhode Island,A10,11.2,115.1,103.9,69.6
2008,Wake Forest,ACC,10.82,107.7,96.9,68.8
2008,Creighton,MVC,10.8,108.7,97.9,65.5
2008,Oklahoma St.,B12,10.78,109.1,98.4,64.2
2008,Akron,MAC,10.48,110.9,100.4,62.8
2008,Oral Roberts,Sum,10.27,104.7,94.5,63.6
2008,Kentucky,SEC,10.01,107.8,97.8,62.4
2008,Duquesne,A10,9.97,108.9,99.0,73.4
2008,George Mason,CAA,9.68,110.7,101.0,61.6
2008,Miami OH,MAC,9.63,108.4,98.7,58.0
