tofix,replacewith
Abilene Christian Wildcats,Abilene Christian
Air Force Falcons,Air Force
Akron Zips,Akron
Alabama Crimson Tide,Alabama
Alabama A&M Bulldogs,Alabama A&M
Alabama St. Hornets,Alabama St.
Albany (NY),Albany
Albany Great Danes,Albany
UAlbany Great Danes,Albany
Alcorn St. Braves,Alcorn St.
American University,American
American University Eagles,American
App St. Mountaineers,Appalachian St.
Appalachian St. Mountaineers,Appalachian St.
Arizona Wildcats,Arizona
Arizona St. Sun Devils,Arizona St.
Arkansas Razorbacks,Arkansas
Arkansas-Pine Bluff,Arkansas Pine Bluff
Arkansas-Pine Bluff Golden Lions,Arkansas Pine Bluff
Arkansas St. Red Wolves,Arkansas St.
Army Black Knights,Army
Auburn Tigers,Auburn
Austin Peay Governors,Austin Peay
Ball St. Cardinals,Ball St.
Baylor Bears,Baylor
Bellarmine Knights,Bellarmine
Belmont Bruins,Belmont
Bethune-Cookman,Bethune Cookman
Bethune-Cookman Wildcats,Bethune Cookman
Binghamton Bearcats,Binghamton
Boise St. Broncos,Boise St.
Boston College Eagles,Boston College
Boston University Terriers,Boston University
Bowling Green Falcons,Bowling Green
Bowling Green St.,Bowling Green
Bradley Braves,Bradley
Brown Bears,Brown
Bryant Bulldogs,Bryant
Bucknell Bison,Bucknell
Buffalo Bulls,Buffalo
Butler Bulldogs,Butler
Brigham Young,BYU
BYU Cougars,BYU
California Baptist,Cal Baptist
California Baptist Lancers,Cal Baptist
Cal Poly Mustangs,Cal Poly
Cal St. Bakersfield Roadrunners,Cal St. Bakersfield
CSU Bakersfield,Cal St. Bakersfield
Cal St. Fullerton Titans,Cal St. Fullerton
CSU Fullerton,Cal St. Fullerton
California Golden Bears,California
University of California,California
Campbell Fighting Camels,Campbell
Canisius Golden Griffins,Canisius
Central Arkansas Bears,Central Arkansas
Central Connecticut Blue Devils,Central Connecticut
Central Connecticut St.,Central Connecticut
Central Michigan Chippewas,Central Michigan
Charleston Cougars,Charleston
College of Charleston,Charleston
Charleston Southern Buccaneers,Charleston Southern
Charlotte 49ers,Charlotte
Chattanooga Mocs,Chattanooga
Chicago St. Cougars,Chicago St.
Cincinnati Bearcats,Cincinnati
Clemson Tigers,Clemson
Cleveland St. Vikings,Cleveland St.
Coastal Carolina Chanticleers,Coastal Carolina
Colgate Raiders,Colgate
Colorado Buffaloes,Colorado
Colorado St. Rams,Colorado St.
Columbia Lions,Columbia
UConn,Connecticut
UConn Huskies,Connecticut
Coppin St. Eagles,Coppin St.
Cornell Big Red,Cornell
Creighton Bluejays,Creighton
Cal St. Northridge Matadors,CSUN
CSU Northridge,CSUN
Cal St. Northridge,CSUN
Dartmouth Big Green,Dartmouth
Davidson Wildcats,Davidson
Dayton Flyers,Dayton
Delaware Blue Hens,Delaware
Delaware St. Hornets,Delaware St.
Denver Pioneers,Denver
DePaul Blue Demons,DePaul
Detroit,Detroit Mercy
Detroit Mercy Titans,Detroit Mercy
Drake Bulldogs,Drake
Drexel Dragons,Drexel
Duke Blue Devils,Duke
Duquesne Dukes,Duquesne
East Carolina Pirates,East Carolina
East Tennessee St. Buccaneers,East Tennessee St.
East Texas A&M Lions,East Texas A&M
Texas A&M-Commerce,East Texas A&M
Texas A&M Commerce,East Texas A&M
Texas A&M-Commerce Lions,East Texas A&M
Eastern Illinois Panthers,Eastern Illinois
Eastern Kentucky Colonels,Eastern Kentucky
Eastern Michigan Eagles,Eastern Michigan
Eastern Washington Eagles,Eastern Washington
Elon Phoenix,Elon
Evansville Purple Aces,Evansville
Fairfield Stags,Fairfield
Fairleigh Dickinson Knights,Fairleigh Dickinson
FDU,Fairleigh Dickinson
Florida International,FIU
Florida International Panthers,FIU
Florida Gators,Florida
Florida A&M Rattlers,Florida A&M
Florida Atlantic Owls,Florida Atlantic
Florida Gulf Coast Eagles,Florida Gulf Coast
Florida St. Seminoles,Florida St.
Fordham Rams,Fordham
Fresno St. Bulldogs,Fresno St.
Furman Paladins,Furman
Gardner-Webb,Gardner Webb
Gardner-Webb Runnin' Bulldogs,Gardner Webb
George Mason Patriots,George Mason
George Washington ,George Washington
George Washington Colonials,George Washington
George Washington Revolutionaries,George Washington
Georgetown Hoyas,Georgetown
Georgia Bulldogs,Georgia
Georgia Southern Eagles,Georgia Southern
Georgia St. Panthers,Georgia St.
Georgia Tech Yellow Jackets,Georgia Tech
Gonzaga Bulldogs,Gonzaga
Grambling,Grambling St.
Grambling Tigers,Grambling St.
Grand Canyon Lopes,Grand Canyon
Green Bay Phoenix,Green Bay
Hampton Pirates,Hampton
Hawai'i,Hawaii
Hawai'i Rainbow Warriors,Hawaii
High Point Panthers,High Point
Hofstra Pride,Hofstra
Holy Cross Crusaders,Holy Cross
Houston Cougars,Houston
Houston Christian Huskies,Houston Christian
Howard Bison,Howard
Idaho Vandals,Idaho
Idaho St. Bengals,Idaho St.
Illinois Fighting Illini,Illinois
Illinois-Chicago,Illinois Chicago
UIC,Illinois Chicago
UIC Flames,Illinois Chicago
Illinois St. Redbirds,Illinois St.
Incarnate Word Cardinals,Incarnate Word
Indiana Hoosiers,Indiana
Indiana St. Sycamores,Indiana St.
Iona Gaels,Iona
Iowa Hawkeyes,Iowa
Iowa St. Cyclones,Iowa St.
IU Indianapolis Jaguars,IU Indy
IUPUI Jaguars,IU Indy
IUPUI,IU Indy
