Year,Team,BPI(O),BPI(D),Conf,NetRtg,ORtg,DRtg,AdjT,W,L,Pts,Opp,MOV,SOS,OSRS,DSRS,SRS,Unnamed: 0,Adj OE,Adj DE,Barthag,Record,Wins,Games,eFG,eFG D.,FT Rate,FT Rate D,TOV%,TOV% D,O Reb%,Op OReb%,Raw T,2P %,2P % D.,3P %,3P % D.,Blk %,Blked %,Ast %,Op Ast %,3P Rate,3P Rate D,Adj. T,Avg Hgt.,Eff. Hgt.,Exp.,PAKE,PASE_x,Talent,Unnamed: 35,FT%,Op. FT%,PPP Off.,PPP Def.,Elite SOS,Team.1,PASE_y
2008,Kansas,12.4,9.6,B12,35.21,120.9,85.7,66.8,37.0,3.0,80.5,61.5,19.03,8.2,14.9,11.99,26.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3114186851211072
2008,North Carolina,19.2,1.0,ACC,30.22,122.1,91.9,72.5,36.0,3.0,88.6,72.5,16.05,8.12,23.41,0.76,24.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4666666666666668
2008,Memphis,11.3,8.0,CUSA,31.51,118.0,86.5,68.1,38.0,2.0,79.9,61.9,17.98,5.76,13.46,10.28,23.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0866013071895425
2008,UCLA,7.9,10.9,P10,29.94,118.0,88.1,64.1,35.0,4.0,73.5,59.0,14.54,7.71,8.6,13.1,21.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5708556149732621
2008,Duke,13.8,4.3,ACC,26.4,116.3,89.9,71.5,28.0,6.0,83.2,69.4,13.79,9.28,16.48,5.04,21.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05422794117647056
2008,Georgetown,4.3,12.9,BE,25.56,115.2,89.7,60.5,28.0,6.0,69.6,58.1,11.5,7.23,4.06,14.67,18.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.1575630252100841
2008,West Virginia,8.9,7.7,BE,21.29,114.6,93.3,63.8,26.0,11.0,74.8,63.6,11.27,7.16,8.45,9.52,17.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013368983957219244
2008,Wisconsin,2.1,14.4,B10,26.68,113.5,86.8,61.1,31.0,5.0,67.3,54.4,12.86,6.73,2.83,16.76,19.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11764705882352944
2008,Tennessee,13.3,2.8,SEC,22.17,116.2,94.0,70.7,31.0,5.0,81.8,70.0,11.86,7.84,15.69,2.73,18.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14828431372549014
2008,Louisville,7.1,9.1,BE,25.41,113.1,87.7,65.3,27.0,9.0,72.5,61.5,11.0,8.0,7.15,11.85,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1390374331550803
2008,Davidson,9.5,5.3,SC,23.61,117.0,93.4,66.2,29.0,7.0,77.9,63.2,14.69,1.66,8.49,5.44,13.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06127450980392165
2008,Clemson,10.2,4.5,ACC,22.03,114.0,91.9,68.0,24.0,10.0,79.2,69.8,9.44,9.08,12.37,5.68,18.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.17463235294117643
2008,Washington St.,1.1,13.2,P10,24.32,115.1,90.8,58.3,26.0,9.0,66.4,56.4,10.0,6.35,0.1,16.25,16.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23529411764705882
2008,Xavier,7.9,6.4,A10,22.05,117.3,95.2,63.8,30.0,7.0,75.1,63.4,11.7,5.47,8.4,8.76,17.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33529411764705885
2008,Marquette,8.3,5.9,BE,22.16,115.3,93.1,66.6,25.0,10.0,75.9,64.8,11.11,8.09,11.23,7.39,18.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.21568627450980393
2008,Stanford,5.5,8.6,P10,22.75,113.6,90.9,63.4,28.0,8.0,70.9,61.6,9.36,6.95,5.6,10.71,16.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7647058823529412
2008,Texas,9.4,4.3,B12,25.09,120.6,95.5,63.9,31.0,7.0,75.5,64.9,10.55,8.59,9.93,8.2,18.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.29096638655462187
2008,Michigan St.,5.8,7.8,B10,21.15,115.8,94.7,63.3,27.0,9.0,71.2,62.6,8.64,7.68,7.0,9.32,16.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6672794117647058
2008,Pittsburgh,7.2,6.0,BE,19.91,116.5,96.6,63.9,27.0,10.0,73.8,65.1,8.68,7.84,8.0,7.63,15.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.49448529411764697
2008,Indiana,8.5,4.1,B10,18.43,114.6,96.1,66.2,25.0,8.0,75.0,65.3,9.7,6.08,10.93,4.85,15.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.21638655462184872
2008,Butler,3.3,9.2,Horz,19.97,116.2,96.2,59.5,30.0,4.0,68.8,58.4,10.41,2.64,2.38,10.63,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0245098039215685
2008,Connecticut,8.5,3.8,BE,18.9,115.2,96.3,67.1,24.0,9.0,77.5,68.7,8.79,6.76,10.81,4.73,15.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8435828877005349
2008,Texas A&M,4.1,8.2,B12,19.93,112.3,92.3,61.8,25.0,11.0,70.8,61.6,9.22,7.46,4.82,11.38,16.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.03431372549019607
2008,Notre Dame,10.6,1.6,BE,19.07,114.6,95.6,69.5,25.0,8.0,79.0,69.6,9.42,7.03,13.12,3.03,16.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.050653594771241824
2008,USC,4.9,7.1,P10,18.67,110.5,91.9,65.2,21.0,12.0,69.0,63.7,5.3,8.59,5.35,8.54,13.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11554621848739499
2008,Ohio St.,3.6,8.2,B10,17.79,110.2,92.4,64.0,24.0,13.0,68.9,62.2,6.78,7.97,3.38,10.34,13.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.18582887700534767
2008,Gonzaga,8.1,2.9,WCC,19.05,114.5,95.5,65.9,25.0,8.0,76.5,63.8,12.67,2.15,9.29,5.52,14.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25000000000000006
2008,Mississippi St.,5.5,5.5,SEC,16.77,108.2,91.5,66.6,23.0,11.0,73.2,65.5,7.68,5.74,5.74,7.68,13.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5147058823529412
2008,Arizona,6.6,4.1,P10,19.14,116.4,97.3,63.5,19.0,15.0,71.9,66.9,4.91,10.22,7.57,6.99,14.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.10633484162895929
2008,Florida,8.1,2.5,SEC,15.37,115.9,100.5,65.0,24.0,12.0,77.5,67.6,9.94,4.98,8.39,3.96,12.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6390374331550803
2008,Miami FL,8.1,2.2,ACC,15.38,112.5,97.1,65.8,23.0,11.0,74.8,67.9,6.85,7.13,7.49,4.89,12.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5441176470588235
2008,Drake,5.4,4.9,MVC,21.46,120.0,98.5,62.9,28.0,5.0,73.9,62.1,11.82,4.15,7.43,6.65,14.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3941176470588236
2008,Purdue,3.9,6.0,B10,18.3,110.5,92.2,66.9,25.0,9.0,69.6,62.4,7.21,5.9,5.95,7.16,13.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.146078431372549
2008,Oregon,11.0,-1.1,P10,15.66,118.8,103.1,65.8,18.0,14.0,76.6,72.5,4.03,7.65,12.03,-0.35,11.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5514705882352942
2008,Virginia Tech,2.4,7.4,ACC,16.29,107.1,90.8,65.8,21.0,14.0,70.2,64.7,5.46,6.54,3.05,8.95,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.4882352941176471
2008,Arkansas,5.5,4.1,SEC,15.19,111.4,96.2,66.5,23.0,12.0,74.1,68.3,5.74,6.73,6.67,5.81,12.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5955882352941176
2008,Kansas St.,8.6,1.1,B12,18.9,114.2,95.3,69.7,21.0,12.0,78.0,68.9,9.09,7.79,12.61,3.17,15.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07941176470588232
2008,Syracuse,10.1,-0.6,BE,14.12,112.6,98.4,69.9,21.0,14.0,79.0,74.3,4.69,7.96,12.91,-0.27,12.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5029411764705883
2008,Oklahoma,2.6,6.9,B12,14.47,109.5,95.1,63.1,23.0,12.0,67.9,63.8,4.11,7.85,3.36,8.61,11.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06617647058823525
2008,Saint Joseph's,6.1,3.2,A10,14.32,115.1,100.8,64.0,21.0,13.0,73.1,67.4,5.65,3.98,6.05,3.58,9.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.39215686274509803
2008,Mississippi,10.1,-0.7,SEC,13.49,114.2,100.7,69.3,24.0,11.0,79.5,72.9,6.54,5.88,13.28,-0.99,12.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2720588235294118
2008,New Mexico,5.2,4.1,MWC,17.08,111.1,94.0,64.4,24.0,9.0,74.1,62.7,11.42,1.72,5.99,6.55,12.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7107843137254902
2008,Georgia Tech,9.8,-0.5,ACC,13.1,114.5,101.4,68.6,15.0,17.0,77.6,76.0,1.56,9.57,11.45,-0.69,10.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.11029411764705882
2008,Missouri,10.1,-1.0,B12,13.04,113.3,100.2,69.3,16.0,16.0,77.1,72.3,4.88,6.87,12.35,-0.6,11.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.47058823529411764
2008,Villanova,5.6,3.4,BE,14.21,109.2,95.0,68.1,22.0,13.0,72.8,69.5,3.31,7.69,6.92,4.08,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20701357466063344
2008,VCU,0.4,8.6,CAA,11.45,104.7,93.2,63.6,24.0,8.0,67.4,58.8,8.63,-2.06,-1.83,8.39,6.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.10784313725490191
2008,Saint Mary's,5.1,3.9,WCC,14.66,109.2,94.6,66.4,25.0,7.0,75.7,63.7,12.0,0.36,6.27,5.12,11.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.19705882352941173
2008,UNLV,2.6,6.0,MWC,13.71,110.2,96.5,63.9,27.0,8.0,69.7,62.3,7.4,4.02,2.46,7.77,10.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6176470588235294
2008,Vanderbilt,10.0,-1.6,SEC,12.65,112.3,99.6,68.2,26.0,8.0,80.0,74.6,5.41,5.54,12.11,-1.16,10.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9485294117647057
2008,Maryland,5.9,2.4,ACC,11.99,107.1,95.1,69.9,19.0,15.0,73.0,69.8,3.24,7.28,7.34,2.4,9.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06862745098039216
2008,Florida St.,4.4,3.9,ACC,12.26,108.7,96.4,64.8,19.0,15.0,72.1,69.0,3.09,7.31,5.32,5.08,10.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12316176470588236
2008,BYU,4.6,3.6,MWC,15.76,107.4,91.7,67.8,27.0,8.0,73.7,63.2,10.49,1.33,5.74,6.08,11.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.14052287581699346
2008,Western Kentucky,7.5,0.6,SB,14.6,111.9,97.3,68.2,29.0,7.0,77.4,66.8,10.61,0.24,7.93,1.41,9.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5352941176470589
2008,Illinois,-0.7,8.8,B10,13.47,107.5,94.0,61.0,16.0,19.0,63.6,61.1,2.51,8.46,0.25,10.73,10.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.36397058823529405
2008,Rhode Island,11.0,-3.1,A10,11.2,115.1,103.9,69.6,21.0,12.0,80.5,74.4,6.12,2.29,12.41,-4.0,8.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11029411764705882
2008,Baylor,12.6,-4.8,B12,14.82,115.7,100.9,70.1,21.0,11.0,81.3,74.9,6.41,5.75,15.95,-4.5,11.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1572398190045248
2008,Massachusetts,11.3,-3.5,A10,13.1,110.5,97.3,74.6,25.0,11.0,81.5,75.7,5.83,3.77,14.43,-4.83,9.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7647058823529411
2008,Minnesota,3.2,4.4,B10,11.34,108.4,97.1,65.1,20.0,14.0,68.3,63.2,5.06,6.5,3.72,6.56,10.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.4
2008,Kent St.,1.8,5.8,MAC,13.04,107.8,94.8,65.1,28.0,7.0,68.9,61.9,7.06,0.41,1.96,5.51,7.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.338235294117647
2008,Nebraska,-0.5,8.0,B12,15.31,108.0,92.7,61.6,20.0,13.0,67.1,60.7,6.42,6.34,0.38,10.92,11.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.8014705882352942
2008,Duquesne,11.1,-3.7,A10,9.97,108.9,99.0,73.4,17.0,13.0,82.3,74.1,8.23,1.85,13.47,-4.51,8.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13235294117647056
2008,Kentucky,1.0,6.4,SEC,10.01,107.8,97.8,62.4,18.0,13.0,68.5,65.6,2.9,7.09,1.44,7.75,9.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42752100840336144
2008,Arizona St.,0.5,6.7,P10,13.62,110.2,96.6,61.2,21.0,13.0,66.8,61.9,4.85,6.28,1.51,8.8,10.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.01838235294117646
2008,Dayton,2.2,4.9,A10,12.08,111.8,99.7,61.6,23.0,11.0,68.1,64.2,3.91,4.06,2.39,5.59,7.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2769607843137255
2008,Wake Forest,4.5,2.5,ACC,10.82,107.7,96.9,68.8,17.0,13.0,72.2,69.4,2.83,8.83,7.28,2.01,9.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6323529411764706
2008,Temple,4.7,2.3,A10,12.37,112.8,100.4,63.6,21.0,13.0,72.3,68.7,3.59,4.57,5.05,3.11,8.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5399159663865546
2008,Washington,6.6,0.3,P10,11.36,109.7,98.4,68.6,16.0,17.0,73.2,70.8,2.36,8.0,8.1,1.0,9.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2389705882352941
2008,California,9.6,-2.7,P10,11.51,115.8,104.3,67.8,17.0,16.0,76.4,75.1,1.3,8.45,12.29,-2.93,9.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.4522058823529411
2008,Illinois St.,-1.6,8.5,MVC,12.37,106.2,93.9,62.5,25.0,10.0,65.3,59.3,6.0,3.44,-0.93,9.58,8.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,UAB,5.0,1.9,CUSA,12.07,110.7,98.6,66.8,23.0,11.0,73.6,67.3,6.26,2.09,6.53,1.83,8.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.06862745098039214
2008,Houston,8.4,-1.7,CUSA,11.28,114.2,102.9,69.1,24.0,10.0,78.9,70.3,8.56,-0.16,10.19,-1.8,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3566176470588236
2008,George Mason,2.0,4.8,CAA,9.68,110.7,101.0,61.6,23.0,11.0,69.3,62.5,6.82,-0.75,0.96,5.11,6.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.13970588235294118
2008,Akron,2.9,3.7,MAC,10.48,110.9,100.4,62.8,24.0,11.0,70.8,63.8,7.03,0.33,1.88,4.36,6.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2647058823529412
2008,Virginia,7.8,-1.4,ACC,8.11,110.5,102.4,68.4,17.0,16.0,76.8,74.8,1.97,5.63,9.32,-1.72,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9281045751633985
2008,Creighton,4.2,2.1,MVC,10.8,108.7,97.9,65.5,22.0,11.0,71.5,66.0,5.55,4.45,4.85,3.21,8.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18823529411764706
2008,South Alabama,4.0,2.1,SB,11.8,112.6,100.8,64.8,26.0,7.0,75.1,65.4,9.7,-1.21,5.46,2.3,7.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5735294117647058
2008,Southern Illinois,-2.6,8.6,MVC,12.04,105.7,93.7,61.1,18.0,15.0,62.6,59.7,2.85,5.88,-2.16,10.89,8.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,Charlotte,2.2,3.8,A10,9.53,104.6,95.1,66.8,20.0,14.0,69.6,67.4,2.21,4.34,2.08,4.47,6.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,IU Indy,3.8,2.1,Sum,11.68,116.5,104.8,60.9,26.0,7.0,76.1,64.6,11.45,-2.41,3.48,1.65,5.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,Alabama,6.5,-0.5,SEC,9.2,110.9,101.7,66.7,17.0,16.0,75.3,72.8,2.42,5.7,8.19,-0.07,8.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0903361344537815
2008,Winthrop,-4.7,10.5,BSth,6.38,99.5,93.1,61.6,22.0,12.0,64.9,58.5,6.32,-1.45,-7.17,10.78,3.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.34803921568627444
2008,Providence,5.0,0.9,BE,9.4,110.1,100.8,66.3,15.0,16.0,72.7,72.2,0.52,7.86,6.76,1.62,8.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3897058823529412
2008,Utah,1.5,4.2,MWC,11.94,110.2,98.3,62.9,18.0,15.0,68.5,63.8,4.79,3.89,1.39,5.96,7.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.37745098039215685
2008,Oral Roberts,-0.9,6.5,Sum,10.27,104.7,94.5,63.6,24.0,9.0,69.2,62.0,7.12,-0.26,-0.99,6.7,5.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34313725490196073
2008,Georgia,0.4,4.9,SEC,8.08,104.3,96.2,64.7,17.0,17.0,68.1,67.4,0.71,7.03,0.83,6.42,7.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.4779411764705882
2008,South Carolina,4.0,1.2,SEC,6.1,109.1,103.0,64.7,14.0,18.0,72.3,71.1,1.19,6.11,4.52,2.78,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.161764705882353
2008,Tulsa,1.5,3.6,CUSA,9.63,106.2,96.6,64.6,25.0,14.0,70.4,65.2,5.23,2.97,1.87,5.41,7.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.25
2008,Siena,6.1,-1.0,MAAC,7.99,108.6,100.7,67.6,23.0,11.0,76.9,71.2,5.68,-1.62,5.61,-1.55,4.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2843137254901961
2008,Oklahoma St.,0.8,4.1,B12,10.78,109.1,98.4,64.2,17.0,16.0,68.4,66.5,1.94,7.67,2.99,6.4,9.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6071428571428571
2008,Texas Tech,2.3,2.6,B12,9.6,107.7,98.1,67.6,16.0,15.0,69.9,69.3,0.61,7.62,4.52,2.83,7.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.592436974789916
