Year,Round,Region,Game,AFSeed,AFTeam,AFScore,AUSeed,AUTeam,AUScore,Fti,Uti,Conf_x,NetRtg_x,ORtg_x,DRtg_x,AdjT_x,BPI(O)_x,BPI(D)_x,W_x,L_x,Pts_x,Opp_x,MOV_x,SOS_x,OSRS_x,DSRS_x,SRS_x,Adj OE_x,Adj DE_x,Barthag_x,Wins_x,Games_x,eFG_x,eFG D._x,FT Rate_x,FT Rate D_x,TOV%_x,TOV% D_x,O Reb%_x,Op OReb%_x,Raw T_x,2P %_x,2P % D._x,3P %_x,3P % D._x,Blk %_x,Blked %_x,Ast %_x,Op Ast %_x,3P Rate_x,3P Rate D_x,Adj. T_x,Avg Hgt._x,Eff. Hgt._x,Exp._x,PAKE_x,PASE_x_x,Talent_x,FT%_x,Op. FT%_x,PPP Off._x,PPP Def._x,Elite SOS_x,Unnamed: 0_x,Record_x,Unnamed: 35_x,Team.1_x,PASE_y_x,Conf_y,NetRtg_y,ORtg_y,DRtg_y,AdjT_y,BPI(O)_y,BPI(D)_y,W_y,L_y,Pts_y,Opp_y,MOV_y,SOS_y,OSRS_y,DSRS_y,SRS_y,Adj OE_y,Adj DE_y,Barthag_y,Wins_y,Games_y,eFG_y,eFG D._y,FT Rate_y,FT Rate D_y,TOV%_y,TOV% D_y,O Reb%_y,Op OReb%_y,Raw T_y,2P %_y,2P % D._y,3P %_y,3P % D._y,Blk %_y,Blked %_y,Ast %_y,Op Ast %_y,3P Rate_y,3P Rate D_y,Adj. T_y,Avg Hgt._y,Eff. Hgt._y,Exp._y,PAKE_y,PASE_x_y,Talent_y,FT%_y,Op. FT%_y,PPP Off._y,PPP Def._y,Elite SOS_y,Unnamed: 0_y,Record_y,Unnamed: 35_y,Team.1_y,PASE_y_y
2008,0,PI,-1,16,Mount St. Mary's,69,16,Coppin St.,60,2,65,NEC,-1.32,99.3,100.6,66.1,-2.2,1.7,19.0,15.0,69.2,67.7,1.53,-5.12,-3.87,0.28,-3.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9852941176470589,MEAC,-14.41,92.4,106.8,62.9,-9.6,-0.6,16.0,21.0,59.8,66.0,-6.24,-6.2,-12.38,-2.13,-14.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,1,NW,1,1,North Carolina,113,16,Mount St. Mary's,74,1,2,ACC,30.22,122.1,91.9,72.5,19.2,1.0,36.0,3.0,88.6,72.5,16.05,8.12,23.41,0.76,24.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4735294117647059,NEC,-1.32,99.3,100.6,66.1,-2.2,1.7,19.0,15.0,69.2,67.7,1.53,-5.12,-3.87,0.28,-3.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9852941176470589
2008,1,NW,2,8,Indiana,72,9,Arkansas,86,3,4,B10,18.43,114.6,96.1,66.2,8.5,4.1,25.0,8.0,75.0,65.3,9.7,6.08,10.93,4.85,15.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.21428571428571427,SEC,15.19,111.4,96.2,66.5,5.5,4.1,23.0,12.0,74.1,68.3,5.74,6.73,6.67,5.81,12.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5955882352941176
2008,1,NW,3,5,Notre Dame,68,12,George Mason,50,5,6,BE,19.07,114.6,95.6,69.5,10.6,1.6,25.0,8.0,79.0,69.6,9.42,7.03,13.12,3.03,16.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.050653594771241824,CAA,9.68,110.7,101.0,61.6,2.0,4.8,23.0,11.0,69.3,62.5,6.82,-0.75,0.96,5.11,6.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.13970588235294118
2008,1,NW,4,4,Washington St.,71,13,Winthrop,40,7,8,P10,24.32,115.1,90.8,58.3,1.1,13.2,26.0,9.0,66.4,56.4,10.0,6.35,0.1,16.25,16.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23529411764705882,BSth,6.38,99.5,93.1,61.6,-4.7,10.5,22.0,12.0,64.9,58.5,6.32,-1.45,-7.17,10.78,3.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.34803921568627444
2008,1,NW,5,6,Oklahoma,72,11,Saint Joseph's,64,9,10,B12,14.47,109.5,95.1,63.1,2.6,6.9,23.0,12.0,67.9,63.8,4.11,7.85,3.36,8.61,11.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06617647058823525,A10,14.32,115.1,100.8,64.0,6.1,3.2,21.0,13.0,73.1,67.4,5.65,3.98,6.05,3.58,9.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.39215686274509803
2008,1,NW,6,3,Louisville,79,14,Boise St.,61,11,12,BE,25.41,113.1,87.7,65.3,7.1,9.1,27.0,9.0,72.5,61.5,11.0,8.0,7.15,11.85,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14171122994652405,WAC,3.89,108.7,104.8,70.7,8.3,-6.1,25.0,9.0,81.4,75.5,5.88,-2.07,10.33,-8.73,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.4754901960784314
2008,1,NW,7,7,Butler,81,10,South Alabama,61,13,14,Horz,19.97,116.2,96.2,59.5,3.3,9.2,30.0,4.0,68.8,58.4,10.41,2.64,2.38,10.63,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0245098039215685,SB,11.8,112.6,100.8,64.8,4.0,2.1,26.0,7.0,75.1,65.4,9.7,-1.21,5.46,2.3,7.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5735294117647058
2008,1,NW,8,2,Tennessee,72,15,American,57,15,16,SEC,22.17,116.2,94.0,70.7,13.3,2.8,31.0,5.0,81.8,70.0,11.86,7.84,15.69,2.73,18.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14828431372549014,Pat,1.67,107.9,106.3,60.4,-3.0,3.8,21.0,12.0,64.8,62.1,2.76,-4.0,-4.6,2.73,-1.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1286764705882353
2008,1,SW,9,1,Kansas,85,16,Portland St.,61,17,18,B12,35.21,120.9,85.7,66.8,12.4,9.6,37.0,3.0,80.5,61.5,19.03,8.2,14.9,11.99,26.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.30363321799307963,BSky,5.4,108.6,103.2,66.3,3.8,-0.9,23.0,10.0,73.9,68.0,5.85,-3.01,4.11,-2.38,1.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1323529411764706
2008,1,SW,10,8,UNLV,71,9,Kent St.,58,19,20,MWC,13.71,110.2,96.5,63.9,2.6,6.0,27.0,8.0,69.7,62.3,7.4,4.02,2.46,7.77,10.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6176470588235294,MAC,13.04,107.8,94.8,65.1,1.8,5.8,28.0,7.0,68.9,61.9,7.06,0.41,1.96,5.51,7.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.338235294117647
2008,1,SW,11,5,Clemson,69,12,Villanova,75,21,22,ACC,22.03,114.0,91.9,68.0,10.2,4.5,24.0,10.0,79.2,69.8,9.44,9.08,12.37,5.68,18.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.17463235294117643,BE,14.21,109.2,95.0,68.1,5.6,3.4,22.0,13.0,72.8,69.5,3.31,7.69,6.92,4.08,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21040723981900453
2008,1,SW,12,4,Vanderbilt,62,13,Siena,83,23,24,SEC,12.65,112.3,99.6,68.2,10.0,-1.6,26.0,8.0,80.0,74.6,5.41,5.54,12.11,-1.16,10.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9485294117647057,MAAC,7.99,108.6,100.7,67.6,6.1,-1.0,23.0,11.0,76.9,71.2,5.68,-1.62,5.61,-1.55,4.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2843137254901961
2008,1,SW,13,6,USC,67,11,Kansas St.,80,25,26,P10,18.67,110.5,91.9,65.2,4.9,7.1,21.0,12.0,69.0,63.7,5.3,8.59,5.35,8.54,13.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11554621848739499,B12,18.9,114.2,95.3,69.7,8.6,1.1,21.0,12.0,78.0,68.9,9.09,7.79,12.61,3.17,15.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07941176470588232
2008,1,SW,14,3,Wisconsin,71,14,Cal St. Fullerton,56,27,28,B10,26.68,113.5,86.8,61.1,2.1,14.4,31.0,5.0,67.3,54.4,12.86,6.73,2.83,16.76,19.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11862745098039218,BW,8.47,112.3,103.9,71.6,9.6,-4.9,24.0,9.0,81.8,72.7,9.15,-3.06,11.86,-6.23,5.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1568627450980392
2008,1,SW,15,7,Gonzaga,76,10,Davidson,82,29,30,WCC,19.05,114.5,95.5,65.9,8.1,2.9,25.0,8.0,76.5,63.8,12.67,2.15,9.29,5.52,14.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25432525951557095,SC,23.61,117.0,93.4,66.2,9.5,5.3,29.0,7.0,77.9,63.2,14.69,1.66,8.49,5.44,13.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06127450980392165
2008,1,SW,16,2,Georgetown,66,15,UMBC,47,31,32,BE,25.56,115.2,89.7,60.5,4.3,12.9,28.0,6.0,69.6,58.1,11.5,7.23,4.06,14.67,18.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.1575630252100841,AE,3.86,113.2,109.3,63.7,4.5,-2.2,24.0,9.0,74.2,68.4,5.82,-4.53,4.01,-3.94,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.40441176470588236
2008,1,NE,17,1,Memphis,87,16,UT Arlington,63,33,34,CUSA,31.51,118.0,86.5,68.1,11.3,8.0,38.0,2.0,79.9,61.9,17.98,5.76,13.46,10.28,23.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.08496732026143793,Slnd,-2.31,101.3,103.6,68.6,0.8,-2.4,21.0,12.0,73.4,68.9,4.48,-4.62,1.13,-4.0,-2.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.014705882352941176
2008,1,NE,18,8,Mississippi St.,76,9,Oregon,69,35,36,SEC,16.77,108.2,91.5,66.6,5.5,5.5,23.0,11.0,73.2,65.5,7.68,5.74,5.74,7.68,13.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5147058823529412,P10,15.66,118.8,103.1,65.8,11.0,-1.1,18.0,14.0,76.6,72.5,4.03,7.65,12.03,-0.35,11.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5529411764705884
2008,1,NE,19,5,Michigan St.,72,12,Temple,61,37,38,B10,21.15,115.8,94.7,63.3,5.8,7.8,27.0,9.0,71.2,62.6,8.64,7.68,7.0,9.32,16.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6681985294117647,A10,12.37,112.8,100.4,63.6,4.7,2.3,21.0,13.0,72.3,68.7,3.59,4.57,5.05,3.11,8.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5399159663865546
2008,1,NE,20,4,Pittsburgh,82,13,Oral Roberts,63,39,40,BE,19.91,116.5,96.6,63.9,7.2,6.0,27.0,10.0,73.8,65.1,8.68,7.84,8.0,7.63,15.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.4908088235294117,Sum,10.27,104.7,94.5,63.6,-0.9,6.5,24.0,9.0,69.2,62.0,7.12,-0.26,-0.99,6.7,5.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34313725490196073
2008,1,NE,21,6,Marquette,74,11,Kentucky,66,41,42,BE,22.16,115.3,93.1,66.6,8.3,5.9,25.0,10.0,75.9,64.8,11.11,8.09,11.23,7.39,18.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.21568627450980393,SEC,10.01,107.8,97.8,62.4,1.0,6.4,18.0,13.0,68.5,65.6,2.9,7.09,1.44,7.75,9.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.430672268907563
2008,1,NE,22,3,Stanford,77,14,Cornell,53,43,44,P10,22.75,113.6,90.9,63.4,5.5,8.6,28.0,8.0,70.9,61.6,9.36,6.95,5.6,10.71,16.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7647058823529412,Ivy,4.41,110.1,105.7,67.9,6.2,-2.5,22.0,6.0,76.3,68.5,7.82,-4.74,6.17,-5.41,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.40686274509803927
2008,1,NE,23,7,Miami FL,78,10,Saint Mary's,64,45,46,ACC,15.38,112.5,97.1,65.8,8.1,2.2,23.0,11.0,74.8,67.9,6.85,7.13,7.49,4.89,12.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5441176470588235,WCC,14.66,109.2,94.6,66.4,5.1,3.9,25.0,7.0,75.7,63.7,12.0,0.36,6.27,5.12,11.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.19705882352941173
2008,1,NE,24,2,Texas,74,15,Austin Peay,54,47,48,B12,25.09,120.6,95.5,63.9,9.4,4.3,31.0,7.0,75.5,64.9,10.55,8.59,9.93,8.2,18.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.29096638655462187,OVC,-0.3,104.6,104.9,65.5,2.9,-1.8,24.0,11.0,74.0,70.8,3.23,-5.24,1.36,-3.57,-2.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.09558823529411765
2008,1,SE,25,1,UCLA,70,16,Mississippi Valley St.,29,49,50,P10,29.94,118.0,88.1,64.1,7.9,10.9,35.0,4.0,73.5,59.0,14.54,7.71,8.6,13.1,21.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.572192513368984,SWAC,-15.21,91.9,107.1,63.0,-9.8,-2.1,17.0,16.0,61.7,65.9,-4.18,-9.5,-13.38,-1.9,-15.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.014705882352941176
2008,1,SE,26,8,BYU,62,9,Texas A&M,67,51,52,MWC,15.76,107.4,91.7,67.8,4.6,3.6,27.0,8.0,73.7,63.2,10.49,1.33,5.74,6.08,11.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.14052287581699346,B12,19.93,112.3,92.3,61.8,4.1,8.2,25.0,11.0,70.8,61.6,9.22,7.46,4.82,11.38,16.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.03431372549019607
2008,1,SE,27,5,Drake,99,12,Western Kentucky,101,53,54,MVC,21.46,120.0,98.5,62.9,5.4,4.9,28.0,5.0,73.9,62.1,11.82,4.15,7.43,6.65,14.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3941176470588236,SB,14.6,111.9,97.3,68.2,7.5,0.6,29.0,7.0,77.4,66.8,10.61,0.24,7.93,1.41,9.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5411764705882354
2008,1,SE,28,4,Connecticut,69,13,San Diego,70,55,56,BE,18.9,115.2,96.3,67.1,8.5,3.8,24.0,9.0,77.5,68.7,8.79,6.76,10.81,4.73,15.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8462566844919786,WCC,4.64,101.6,97.0,63.0,-1.7,3.7,22.0,14.0,65.7,63.8,1.92,1.45,-3.71,7.1,3.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75
2008,1,SE,29,6,Purdue,90,11,Baylor,79,57,58,B10,18.3,110.5,92.2,66.9,3.9,6.0,25.0,9.0,69.6,62.4,7.21,5.9,5.95,7.16,13.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.14411764705882352,B12,14.82,115.7,100.9,70.1,12.6,-4.8,21.0,11.0,81.3,74.9,6.41,5.75,15.95,-4.5,11.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.021493212669683345
2008,1,SE,30,3,Xavier,73,14,Georgia,61,59,60,A10,22.05,117.3,95.2,63.8,7.9,6.4,30.0,7.0,75.1,63.4,11.7,5.47,8.4,8.76,17.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33676470588235297,SEC,8.08,104.3,96.2,64.7,0.4,4.9,17.0,17.0,68.1,67.4,0.71,7.03,0.83,6.42,7.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.4779411764705882
2008,1,SE,31,7,West Virginia,75,10,Arizona,65,61,62,BE,21.29,114.6,93.3,63.8,8.9,7.7,26.0,11.0,74.8,63.6,11.27,7.16,8.45,9.52,17.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013368983957219244,P10,19.14,116.4,97.3,63.5,6.6,4.1,19.0,15.0,71.9,66.9,4.91,10.22,7.57,6.99,14.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.10407239819004527
2008,1,SE,32,2,Duke,71,15,Belmont,70,63,64,ACC,26.4,116.3,89.9,71.5,13.8,4.3,28.0,6.0,83.2,69.4,13.79,9.28,16.48,5.04,21.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05882352941176466,ASun,3.53,109.7,106.2,68.6,6.8,-4.2,25.0,9.0,79.8,73.4,6.38,-3.44,6.55,-6.67,-0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.24264705882352944
2008,2,NW,33,1,North Carolina,108,9,Arkansas,77,1,4,ACC,30.22,122.1,91.9,72.5,19.2,1.0,36.0,3.0,88.6,72.5,16.05,8.12,23.41,0.76,24.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4735294117647059,SEC,15.19,111.4,96.2,66.5,5.5,4.1,23.0,12.0,74.1,68.3,5.74,6.73,6.67,5.81,12.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5955882352941176
