Air Force,,,,,1
Akron,,,,,1
Alabama,,,,,0
Alabama A&M,,,,,1
Alabama St.,,,,,1
Alcorn St.,,,,,1
American,,,,,1
Appalachian St.,,,,,1
Arizona,,,,,1
Arizona St.,,,,,1
Arkansas Pine Bluff,,,,,1
Arkansas St.,,,,,1
Army,,,,,1
Auburn,,,,,1
Austin Peay,,,,,0
Ball St.,,,,,1
Baylor,,,,,1
Bellarmine,,,,,1
Belmont,,,,,1
Bethune Cookman,,,,,1
Boise St.,,,,,1
Boston College,,,,,1
Boston University,,,,,1
Bowling Green,,,,,1
Brown,,,,,1
Bryant,,,,,1
Bucknell,,,,,1
Buffalo,,,,,1
Butler,,,,,1
Cal Baptist,,,,,1
Cal Poly,,,,,1
Cal St. Bakersfield,,,,,1
Cal St. Fullerton,,,,,
Campbell,,,,,
Canisius,,,,,
Central Arkansas,,,,,
Central Connecticut,,,,,
Charleston,,,,,
Charleston Southern,,,,,
Charlotte,,,,,
Chattanooga,,,,,
Cincinnati,,,,,
Clemson,,,,,
Cleveland St.,,,,,
Coastal Carolina,,,,,
Colorado,,,,,
Colorado St.,,,,,
Columbia,,,,,
Connecticut,,,,,
Coppin St.,,,,,
Creighton,,,,,
Davidson,,,,,
Dayton,,,,,
Delaware,,,,,
Delaware St.,,,,,
DePaul,,,,,
Detroit Mercy,,,,,
Drake,,,,,
Drexel,,,,,
Duke,,,,,
Duquesne,,,,,
East Tennessee St.,,,,,
East Texas A&M,,,,,
Eastern Illinois,,,,,
Eastern Michigan,,,,,
Eastern Washington,,,,,
Elon,,,,,
Evansville,,,,,
Fairfield,,,,,
Fairleigh Dickinson,,,,,
Florida,,,,,
Florida A&M,,,,,
Florida Gulf Coast,,,,,
Florida St.,,,,,
Fordham,,,,,
Fresno St.,,,,,
George Mason,,,,,
George Washington,,,,,
Georgetown,,,,,
Georgia,,,,,
Georgia St.,,,,,
Georgia Tech,,,,,
Gonzaga,,,,,
Grambling St.,,,,,
Green Bay,,,,,
Hawaii,,,,,
High Point,,,,,
Hofstra,,,,,
Holy Cross,,,,,
Houston,,,,,
Howard,,,,,
Idaho,,,,,
Idaho St.,,,,,
Illinois,,,,,
Illinois Chicago,,,,,
Illinois St.,,,,,
Indiana,,,,,
Indiana St.,,,,,
Iona,,,,,
Iowa,,,,,
Iowa St.,,,,,
Jacksonville,,,,,
Jacksonville St.,,,,,
James Madison,,,,,
Kansas,,,,,
Kennesaw St.,,,,,
Kent St.,,,,,
Kentucky,,,,,
Lafayette,,,,,
Lamar,,,,,
Le Moyne,,,,,
Lehigh,,,,,
Liberty,,,,,
Lipscomb,,,,,
Little Rock,,,,,
Long Beach St.,,,,,
Longwood,,,,,
Louisiana Monroe,,,,,
Louisiana Tech,,,,,
Louisville,,,,,
