Year,Round,Region,Game,AFSeed,AFTeam,AFScore,AUSeed,AUTeam,AUScore
1985,1,NW,1,1,St. John's,83,16,Southern,59
1985,1,NW,2,8,Iowa,54,9,Arkansas,63
1985,1,NW,3,5,Washington,58,12,Kentucky,66
1985,1,NW,4,4,UNLV,85,13,San Diego St.,80
1985,1,NW,5,6,Tulsa,75,11,UTEP,79
1985,1,NW,6,3,North Carolina St.,65,14,Nevada,56
1985,1,NW,7,7,Alabama,50,10,Arizona,41
1985,1,NW,8,2,VCU,81,15,Marshall,65
1985,1,SW,9,1,Georgetown,68,16,Lehigh,43
1985,1,SW,10,8,Temple,60,9,Virginia Tech,57
1985,1,SW,11,5,SMU,85,12,Old Dominion,68
1985,1,SW,12,4,Loyola Chicago,59,13,Iona,58
1985,1,SW,13,6,Georgia,67,11,Wichita St.,59
1985,1,SW,14,3,Illinois,76,14,Northeastern,57
1985,1,SW,15,7,Syracuse,70,10,DePaul,65
1985,1,SW,16,2,Georgia Tech,65,15,Mercer,58
1985,1,NE,17,1,Oklahoma,96,16,North Carolina A&T,83
1985,1,NE,18,8,USC,55,9,Illinois St.,58
1985,1,NE,19,5,Louisiana Tech,78,12,Pittsburgh,54
1985,1,NE,20,4,Ohio St.,75,13,Iowa St.,64
1985,1,NE,21,6,Texas Tech,53,11,Boston College,55
1985,1,NE,22,3,Duke,75,14,Pepperdine,62
1985,1,NE,23,7,UAB,70,10,Michigan St.,68
1985,1,NE,24,2,Memphis,67,15,Penn,55
1985,1,SE,25,1,Michigan,59,16,Fairleigh Dickinson,55
1985,1,SE,26,8,Villanova,51,9,Dayton,49
1985,1,SE,27,5,Maryland,69,12,Miami OH,68
1985,1,SE,28,4,LSU,55,13,Navy,78
1985,1,SE,29,6,Purdue,58,11,Auburn,59
1985,1,SE,30,3,Kansas,49,14,Ohio,38
1985,1,SE,31,7,Notre Dame,79,10,Oregon St.,70
1985,1,SE,32,2,North Carolina,76,15,Middle Tennessee,57
1985,2,NW,33,1,St. John's,68,9,Arkansas,65
1985,2,NW,34,4,UNLV,61,12,Kentucky,64
1985,2,NW,35,3,North Carolina St.,86,11,UTEP,73
1985,2,NW,36,2,VCU,59,7,Alabama,63
1985,2,SW,37,1,Georgetown,63,8,Temple,46
1985,2,SW,38,4,Loyola Chicago,70,5,SMU,57
1985,2,SW,39,3,Illinois,74,6,Georgia,58
1985,2,SW,40,2,Georgia Tech,70,7,Syracuse,53
1985,2,NE,41,1,Oklahoma,75,9,Illinois St.,69
1985,2,NE,42,4,Ohio St.,67,5,Louisiana Tech,79
1985,2,NE,43,3,Duke,73,11,Boston College,74
1985,2,NE,44,2,Memphis,67,7,UAB,66
1985,2,SE,45,1,Michigan,55,8,Villanova,59
1985,2,SE,46,5,Maryland,64,13,Navy,59
1985,2,SE,47,3,Kansas,64,11,Auburn,66
1985,2,SE,48,2,North Carolina,60,7,Notre Dame,58
1985,3,NW,49,1,St. John's,86,12,Kentucky,70
1985,3,NW,50,3,North Carolina St.,61,7,Alabama,55
1985,3,SW,51,1,Georgetown,65,4,Loyola Chicago,53
1985,3,SW,52,2,Georgia Tech,61,3,Illinois,53
1985,3,NE,53,1,Oklahoma,86,5,Louisiana Tech,84
1985,3,NE,54,2,Memphis,59,11,Boston College,57
1985,3,SE,55,5,Maryland,43,8,Villanova,46
1985,3,SE,56,2,North Carolina,62,11,Auburn,56
1985,4,NW,57,1,St. John's,69,3,North Carolina St.,60
1985,4,SW,58,1,Georgetown,60,2,Georgia Tech,54
1985,4,NE,59,1,Oklahoma,61,2,Memphis,63
1985,4,SE,60,2,North Carolina,44,8,Villanova,56
1985,5,F4,61,1,Georgetown,77,1,St. John's,59
1985,5,F4,62,2,Memphis,45,8,Villanova,52
1985,6,Champ,63,1,Georgetown,64,8,Villanova,66
1986,1,NW,1,1,Kentucky,75,16,Davidson,55
1986,1,NW,2,8,Western Kentucky,67,9,Nebraska,59
1986,1,NW,3,5,Alabama,97,12,Xavier,80
1986,1,NW,4,4,Illinois,75,13,Fairfield,51
1986,1,NW,5,6,Purdue,87,11,LSU,94
1986,1,NW,6,3,Memphis,95,14,Ball St.,63
1986,1,NW,7,7,Virginia Tech,62,10,Villanova,71
1986,1,NW,8,2,Georgia Tech,68,15,Marist,53
1986,1,SW,9,1,St. John's,83,16,Montana St.,74
1986,1,SW,10,8,Auburn,73,9,Arizona,63
1986,1,SW,11,5,Maryland,69,12,Pepperdine,64
1986,1,SW,12,4,UNLV,74,13,Louisiana Monroe,51
1986,1,SW,13,6,UAB,66,11,Missouri,64
1986,1,SW,14,3,North Carolina,84,14,Utah,72
