Year,Round,Region,Game,AFSeed,AFTeam,AFScore,AUSeed,AUTeam,AUScore,Team_x,Conf_x,AdjEM_x,AdjO_x,AdjD_x,AdjT_x,BPIO_x,BPID_x,W_x,L_x,Pts_x,Opp_x,MOV_x,SOS_x,OSRS_x,DSRS_x,SRS_x,Team_y,Conf_y,AdjEM_y,AdjO_y,AdjD_y,AdjT_y,BPIO_y,BPID_y,W_y,L_y,Pts_y,Opp_y,MOV_y,SOS_y,OSRS_y,DSRS_y,SRS_y
2008,1,NW,1,1,North Carolina,113,16,Mount St. Mary's,74,North Carolina,ACC,30.22,122.1,91.9,72.5,19.2,1,36,3,88.6,72.5,16.05,8.12,23.41,0.76,24.17,Mount St. Mary's,NEC,-1.32,99.3,100.6,66.1,-2.2,1.7,19,15,69.2,67.7,1.53,-5.12,-3.87,0.28,-3.59
2008,1,NW,2,8,Indiana,72,9,Arkansas,86,Indiana,B10,18.43,114.6,96.1,66.2,8.5,4.1,25,8,75,65.3,9.7,6.08,10.93,4.85,15.78,Arkansas,SEC,15.19,111.4,96.2,66.5,5.5,4.1,23,12,74.1,68.3,5.74,6.73,6.67,5.81,12.48
2008,1,NW,3,5,Notre Dame,68,12,George Mason,50,Notre Dame,BE,19.07,114.6,95.6,69.5,10.6,1.6,25,8,79,69.6,9.42,7.03,13.12,3.03,16.15,George Mason,CAA,9.68,110.7,101,61.6,2,4.8,23,11,69.3,62.5,6.82,-0.75,0.96,5.11,6.07
2008,1,NW,4,4,Washington St.,71,13,Winthrop,40,Washington St.,P10,24.32,115.1,90.8,58.3,1.1,13.2,26,9,66.4,56.4,10,6.35,0.1,16.25,16.35,Winthrop,BSth,6.38,99.5,93.1,61.6,-4.7,10.5,22,12,64.9,58.5,6.32,-1.45,-7.17,10.78,3.61
2008,1,NW,5,6,Oklahoma,72,11,Saint Joseph's,64,Oklahoma,B12,14.47,109.5,95.1,63.1,2.6,6.9,23,12,67.9,63.8,4.11,7.85,3.36,8.61,11.97,Saint Joseph's,A10,14.32,115.1,100.8,64,6.1,3.2,21,13,73.1,67.4,5.65,3.98,6.05,3.58,9.63
2008,1,NW,6,3,Louisville,79,14,Boise St.,61,Louisville,BE,25.41,113.1,87.7,65.3,7.1,9.1,27,9,72.5,61.5,11,8,7.15,11.85,19,Boise St.,WAC,3.89,108.7,104.8,70.7,8.3,-6.1,25,9,81.4,75.5,5.88,-2.07,10.33,-8.73,1.6
2008,1,NW,7,7,Butler,81,10,South Alabama,61,Butler,Horz,19.97,116.2,96.2,59.5,3.3,9.2,30,4,68.8,58.4,10.41,2.64,2.38,10.63,13,South Alabama,SB,11.8,112.6,100.8,64.8,4,2.1,26,7,75.1,65.4,9.7,-1.21,5.46,2.3,7.76
2008,1,NW,8,2,Tennessee,72,15,American,57,Tennessee,SEC,22.17,116.2,94,70.7,13.3,2.8,31,5,81.8,70,11.86,7.84,15.69,2.73,18.41,American,Pat,1.67,107.9,106.3,60.4,-3,3.8,21,12,64.8,62.1,2.76,-4,-4.6,2.73,-1.87
2008,1,SW,9,1,Kansas,85,16,Portland St.,61,Kansas,B12,35.21,120.9,85.7,66.8,12.4,9.6,37,3,80.5,61.5,19.03,8.2,14.9,11.99,26.9,Portland St.,BSky,5.4,108.6,103.2,66.3,3.8,-0.9,23,10,73.9,68,5.85,-3.01,4.11,-2.38,1.72
2008,1,SW,10,8,UNLV,71,9,Kent St.,58,UNLV,MWC,13.71,110.2,96.5,63.9,2.6,6,27,8,69.7,62.3,7.4,4.02,2.46,7.77,10.23,Kent St.,MAC,13.04,107.8,94.8,65.1,1.8,5.8,28,7,68.9,61.9,7.06,0.41,1.96,5.51,7.47
2008,1,SW,11,5,Clemson,69,12,Villanova,75,Clemson,ACC,22.03,114,91.9,68,10.2,4.5,24,10,79.2,69.8,9.44,9.08,12.37,5.68,18.05,Villanova,BE,14.21,109.2,95,68.1,5.6,3.4,22,13,72.8,69.5,3.31,7.69,6.92,4.08,11
2008,1,SW,12,4,Vanderbilt,62,13,Siena,83,Vanderbilt,SEC,12.65,112.3,99.6,68.2,10,-1.6,26,8,80,74.6,5.41,5.54,12.11,-1.16,10.96,Siena,MAAC,7.99,108.6,100.7,67.6,6.1,-1,23,11,76.9,71.2,5.68,-1.62,5.61,-1.55,4.06
2008,1,SW,13,6,USC,67,11,Kansas St.,80,USC,P10,18.67,110.5,91.9,65.2,4.9,7.1,21,12,69,63.7,5.3,8.59,5.35,8.54,13.89,Kansas St.,B12,18.9,114.2,95.3,69.7,8.6,1.1,21,12,78,68.9,9.09,7.79,12.61,3.17,15.79
2008,1,SW,14,3,Wisconsin,71,14,Cal St. Fullerton,56,Wisconsin,B10,26.68,113.5,86.8,61.1,2.1,14.4,31,5,67.3,54.4,12.86,6.73,2.83,16.76,19.59,Cal St. Fullerton,BW,8.47,112.3,103.9,71.6,9.6,-4.9,24,9,81.8,72.7,9.15,-3.06,11.86,-6.23,5.64
2008,1,SW,15,7,Gonzaga,76,10,Davidson,82,Gonzaga,WCC,19.05,114.5,95.5,65.9,8.1,2.9,25,8,76.5,63.8,12.67,2.15,9.29,5.52,14.81,Davidson,SC,23.61,117,93.4,66.2,9.5,5.3,29,7,77.9,63.2,14.69,1.66,8.49,5.44,13.93
2008,1,SW,16,2,Georgetown,66,15,UMBC,47,Georgetown,BE,25.56,115.2,89.7,60.5,4.3,12.9,28,6,69.6,58.1,11.5,7.23,4.06,14.67,18.73,UMBC,AE,3.86,113.2,109.3,63.7,4.5,-2.2,24,9,74.2,68.4,5.82,-4.53,4.01,-3.94,0.06
2008,1,NE,17,1,Memphis,87,16,UT Arlington,63,Memphis,CUSA,31.51,118,86.5,68.1,11.3,8,38,2,79.9,61.9,17.98,5.76,13.46,10.28,23.73,UT Arlington,Slnd,-2.31,101.3,103.6,68.6,0.8,-2.4,21,12,73.4,68.9,4.48,-4.62,1.13,-4,-2.87
2008,1,NE,18,8,Mississippi St.,76,9,Oregon,69,Mississippi St.,SEC,16.77,108.2,91.5,66.6,5.5,5.5,23,11,73.2,65.5,7.68,5.74,5.74,7.68,13.42,Oregon,P10,15.66,118.8,103.1,65.8,11,-1.1,18,14,76.6,72.5,4.03,7.65,12.03,-0.35,11.68
2008,1,NE,19,5,Michigan St.,72,12,Temple,61,Michigan St.,B10,21.15,115.8,94.7,63.3,5.8,7.8,27,9,71.2,62.6,8.64,7.68,7,9.32,16.32,Temple,A10,12.37,112.8,100.4,63.6,4.7,2.3,21,13,72.3,68.7,3.59,4.57,5.05,3.11,8.16
2008,1,NE,20,4,Pittsburgh,82,13,Oral Roberts,63,Pittsburgh,BE,19.91,116.5,96.6,63.9,7.2,6,27,10,73.8,65.1,8.68,7.84,8,7.63,15.62,Oral Roberts,Sum,10.27,104.7,94.5,63.6,-0.9,6.5,24,9,69.2,62,7.12,-0.26,-0.99,6.7,5.71
2008,1,NE,21,6,Marquette,74,11,Kentucky,66,Marquette,BE,22.16,115.3,93.1,66.6,8.3,5.9,25,10,75.9,64.8,11.11,8.09,11.23,7.39,18.62,Kentucky,SEC,10.01,107.8,97.8,62.4,1,6.4,18,13,68.5,65.6,2.9,7.09,1.44,7.75,9.19
2008,1,NE,22,3,Stanford,77,14,Cornell,53,Stanford,P10,22.75,113.6,90.9,63.4,5.5,8.6,28,8,70.9,61.6,9.36,6.95,5.6,10.71,16.31,Cornell,Ivy,4.41,110.1,105.7,67.9,6.2,-2.5,22,6,76.3,68.5,7.82,-4.74,6.17,-5.41,0.76
2008,1,NE,23,7,Miami FL,78,10,Saint Mary's,64,Miami FL,ACC,15.38,112.5,97.1,65.8,8.1,2.2,23,11,74.8,67.9,6.85,7.13,7.49,4.89,12.38,Saint Mary's,WCC,14.66,109.2,94.6,66.4,5.1,3.9,25,7,75.7,63.7,12,0.36,6.27,5.12,11.39
2008,1,NE,24,2,Texas,74,15,Austin Peay,54,Texas,B12,25.09,120.6,95.5,63.9,9.4,4.3,31,7,75.5,64.9,10.55,8.59,9.93,8.2,18.13,Austin Peay,OVC,-0.3,104.6,104.9,65.5,2.9,-1.8,24,11,74,70.8,3.23,-5.24,1.36,-3.57,-2.21
2008,1,SE,25,1,UCLA,70,16,Mississippi Valley St.,29,UCLA,P10,29.94,118,88.1,64.1,7.9,10.9,35,4,73.5,59,14.54,7.71,8.6,13.1,21.71,Mississippi Valley St.,SWAC,-15.21,91.9,107.1,63,0,0,17,16,61.7,65.9,-4.18,-9.5,-13.38,-1.9,-15.28
