1,2,3,4,5,6,W,Exp Wins
144,143,123,100,59,36,23,3.361111111111111
144,135,91,65,30,13,5,2.3541666666666665
144,122,75,37,17,11,4,1.8472222222222223
144,113,67,21,13,3,1,1.5138888888888888
144,93,49,9,7,3,0,1.1180555555555556
144,90,43,15,3,2,1,1.0694444444444444
144,87,28,10,3,1,1,0.9027777777777778
144,71,14,8,5,3,1,0.7083333333333334
144,73,7,4,1,0,0,0.5902777777777778
144,57,23,8,1,0,0,0.6180555555555556
144,54,24,9,5,0,0,0.6388888888888888
144,50,22,2,0,0,0,0.5138888888888888
144,31,6,0,0,0,0,0.2569444444444444
144,22,2,0,0,0,0,0.16666666666666666
144,10,2,0,0,0,0,0.08333333333333333
144,1,0,0,0,0,0,0.006944444444444444
