,PASE
Abilene Christian,0.37500000000000006
Air Force,-0.44791666666666663
Akron,-0.23437499999999997
Alabama,0.08006535947712422
Alabama A&M,
Alabama St.,-0.0069444444444444
Albany,0.09583333333333337
Alcorn St.,-0.0833333333333333
American,-0.11111111111111106
Appalachian St.,-0.1666666666666666
Arizona,-0.15364583333333337
Arizona St.,0.20486111111111108
Arkansas,0.22255291005291009
Arkansas Pine Bluff,0.9930555555555556
Arkansas St.,-0.0833333333333333
Auburn,0.7469135802469135
Austin Peay,0.06388888888888893
BYU,-0.3757716049382716
Ball St.,0.08217592592592599
Baylor,0.1124999999999999
Belmont,-0.12934027777777773
Binghamton,-0.0833333333333333
Boise St.,-0.1666666666666666
Boston College,0.14772727272727276
Boston University,-0.12361111111111107
Bradley,0.09166666666666669
Brown,-0.0833333333333333
Bucknell,-0.009548611111111067
Buffalo,-0.0017361111111110772
Butler,0.7087962962962963
Cal Poly,0.9930555555555556
Cal St. Bakersfield,-0.0833333333333333
Cal St. Fullerton,-0.12499999999999994
Cal St. Northridge,-0.17013888888888887
California,-0.1875
Campbell,-0.0069444444444444
Canisius,-0.2569444444444444
Central Connecticut,-0.0856481481481481
Central Michigan,0.05208333333333337
Charleston,-0.38541666666666663
Charleston Southern,-0.11805555555555552
Charlotte,-0.34652777777777777
Chattanooga,0.0460069444444445
Cincinnati,-0.31914251207729466
Clemson,-0.3211805555555555
Cleveland St.,0.8310185185185186
Coastal Carolina,-0.02604166666666663
Colgate,-0.06597222222222218
Colorado,-0.2857142857142857
Colorado St.,-0.15
Connecticut,0.48842592592592593
Coppin St.,0.25000000000000006
Cornell,0.2864583333333334
Creighton,-0.25555555555555554
Davidson,0.005555555555555603
Dayton,-0.0597222222222222
DePaul,-0.09027777777777779
Delaware,-0.22222222222222218
Delaware St.,-0.0069444444444444
Detroit,0.2615740740740741
Drake,-0.3784722222222222
Drexel,-0.02361111111111108
Duke,0.15890522875816995
East Carolina,-0.0069444444444444
East Tennessee St.,-0.07330246913580245
Eastern Illinois,-0.0833333333333333
Eastern Kentucky,-0.05787037037037033
Eastern Michigan,0.3888888888888889
Eastern Washington,-0.16898148148148143
Evansville,-0.2881944444444444
FIU,-0.0069444444444444
Fairfield,-0.09027777777777775
Fairleigh Dickinson,0.1777777777777778
Florida,0.519927536231884
Florida A&M,0.4930555555555556
Florida Atlantic,-0.0833333333333333
Florida Gulf Coast,0.914351851851852
Florida St.,0.08730158730158731
Fordham,-0.1666666666666666
Fresno St.,-0.11574074074074074
Gardner Webb,-0.0069444444444444
George Mason,0.4537037037037037
George Washington,-0.1612654320987654
Georgetown,-0.13352272727272727
Georgia,-0.5303030303030303
Georgia Southern,-0.0833333333333333
Georgia St.,0.18750000000000003
Georgia Tech,0.13845486111111116
Gonzaga,0.2361111111111111
Grand Canyon,-0.0833333333333333
Green Bay,-0.21388888888888885
Hampton,0.36250000000000004
Hartford,-0.0069444444444444
Harvard,0.13715277777777785
Hawaii,-0.16145833333333331
Hofstra,-0.21180555555555552
Holy Cross,0.03703703703703707
Houston,-0.052579365079365115
Howard,-0.0069444444444444
IUPUI,-0.0069444444444444
Idaho,-0.2569444444444444
Idaho St.,-0.0069444444444444
Illinois,-0.3269927536231884
Illinois Chicago,-0.3101851851851852
Illinois St.,0.0034722222222222376
Indiana,-0.1283333333333333
Indiana St.,0.02083333333333337
Iona,-0.18560606060606058
Iowa,-0.13233024691358022
Iowa St.,-0.14364035087719298
Jackson St.,-0.0069444444444444
Jacksonville,-0.7083333333333334
Jacksonville St.,-0.0833333333333333
James Madison,0.4131944444444445
Kansas,-0.008730158730158711
Kansas St.,-0.07777777777777774
Kent St.,0.20254629629629636
Kentucky,0.5150462962962964
LIU,-0.1157407407407407
LSU,0.15482026143790847
La Salle,0.20138888888888884
Lafayette,-0.20039682539682538
Lamar,-0.0069444444444444
Lehigh,0.22395833333333337
Liberty,0.05381944444444449
Lipscomb,-0.0833333333333333
Little Rock,0.26388888888888895
Long Beach St.,-0.48090277777777773
Louisiana Lafayette,-0.2569444444444444
Louisiana Monroe,-0.14120370370370366
Louisiana Tech,0.1527777777777778
Louisville,0.33306623931623935
Loyola Chicago,1.712962962962963
Loyola MD,-0.0833333333333333
Loyola Marymount,0.7430555555555557
Manhattan,0.03333333333333335
Marist,-0.12499999999999994
Marquette,-0.11588541666666669
Marshall,0.13425925925925927
Maryland,0.1287878787878788
Massachusetts,-0.421875
McNeese St.,-0.0868055555555555
Memphis,0.054398148148148175
Mercer,0.37500000000000006
Miami FL,-0.4513888888888889
Miami OH,0.007936507936507972
Michigan,0.4873737373737374
Michigan St.,0.3840996168582376
Middle Tennessee,0.3097222222222223
Milwaukee,0.31250000000000006
Minnesota,-0.007523148148148177
Mississippi,-0.2638888888888889
Mississippi St.,-0.13472222222222222
Mississippi Valley St.,-0.026041666666666626
Missouri,-0.3591269841269841
Missouri St.,0.11689814814814818
Monmouth,0.16145833333333337
Montana,-0.06502525252525247
Montana St.,-0.13194444444444442
Morehead St.,0.5231481481481483
Morgan St.,-0.0833333333333333
Mount St. Mary's,0.4930555555555556
Murray St.,-0.054166666666666634
Navy,0.33912037037037046
Nebraska,-0.8730158730158729
